"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"51","Tank Dell","HST","WR","14","2024","409","0.156","1.61","0.19","20.3","16.9","3.2","0.2","8.1","79","51","667","3","1046","9.3","296","0.159","1.62","0.19","21.3","","","","","0.0","","","","","0.0","","","","","0.0"
"52","Alec Pierce","IND","WR","16","2024","405","0.072","1.98","0.16","14.3","13.1","1.0","0.2","8.6","67","37","824","7","1485","11.0","342","0.067","2.26","0.17","14.0","","","","","0.0","","","","","0.0","","","","","0.0"
"53","Pat Freiermuth","PIT","TE","17","2024","403","0.017","1.56","0.18","8.7","8.4","0.2","0.0","7.2","74","65","655","7","463","5.2","71","0.042","1.25","0.14","14.1","","","","","0.0","105","-0.038","1.51","0.18","3.8","1","0.000","7.00","1.00","0.0"
"54","Rashod Bateman","BLT","WR","17","2024","400","0.195","1.83","0.16","19.3","14.5","4.0","0.8","5.3","67","45","756","9","1006","10.3","366","0.183","1.63","0.16","18.9","","","","","0.0","","","","","0.0","","","","","0.0"
"55","Mike Gesicki","CIN","TE","17","2024","399","0.045","1.62","0.20","12.3","10.5","1.8","0.0","9.5","82","65","665","2","634","5.6","95","0.053","2.00","0.22","13.7","","","","","0.0","32","-0.063","-0.19","0.19","6.3","1","0.000","","","0.0"
"56","Sam LaPorta","DET","TE","16","2024","398","0.095","1.80","0.20","11.1","9.5","1.3","0.3","3.3","79","60","726","7","620","5.7","84","0.107","1.86","0.27","16.7","","","","","0.0","209","0.115","2.34","0.20","10.0","4","0.250","","","25.0"
"57","Kyle Pitts","ATL","TE","17","2024","396","0.025","1.49","0.17","7.6","6.6","0.8","0.3","6.3","70","47","602","4","612","5.6","89","-0.067","1.44","0.17","5.6","","","","","0.0","153","0.033","1.63","0.19","6.5","","","","","0.0"
"58","George Pickens","PIT","WR","14","2024","396","0.086","2.18","0.24","14.9","12.6","2.3","0.0","8.1","100","59","900","3","1395","7.9","308","0.068","1.89","0.23","13.0","","","","","0.0","","","","","0.0","","","","","0.0"
"59","Tyler Boyd","TEN","WR","16","2024","393","0.008","0.98","0.14","7.1","6.4","0.8","0.0","7.1","57","39","390","0","408","7.3","67","-0.060","1.47","0.22","7.5","","","","","0.0","","","","","0.0","","","","","0.0"
"60","Deebo Samuel","SF","WR","15","2024","392","-0.010","1.69","0.20","9.7","9.2","0.5","0.0","11.2","79","51","670","3","543","5.7","237","-0.034","1.32","0.18","9.7","","","","","0.0","2","1.000","16.00","1.00","100.0","26","-0.038","0.96","0.15","0.0"
