"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"327","Seth McGowan","RB","IND","2026","2","KC","2.0"
"328","Konata Mumpfield","WR","LA","2026","2","NYG","2.0"
"329","Jaylen Wright","RB","MIA","2026","2","SF","1.9"
"330","Jaylin Lane","WR","WAS","2026","2","DAL","1.9"
"331","Eli Raridon","TE","NE","2026","2","PIT","1.8"
"332","Connor Heyward","RB","LV","2026","2","LAC","1.8"
"333","Matthew Hibner","TE","BLT","2026","2","NO","1.8"
"334","Erick All","TE","CIN","2026","2","HST","1.7"
"335","Demond Claiborne","RB","MIN","2026","2","CHI","1.7"
"336","Davis Allen","TE","LA","2026","2","NYG","1.7"
"337","Laquon Treadwell","WR","IND","2026","2","KC","1.6"
"338","Emanuel Wilson","RB","SEA","2026","2","ARZ","1.6"
"339","Travis Hunter","WR","JAX","2026","2","DEN","1.6"
"340","AJ Dillon","RB","CAR","2026","2","ATL","1.6"
"341","Malik Benson","WR","LV","2026","2","LAC","1.6"
"342","Austin Hooper","TE","ATL","2026","2","CAR","1.6"
"343","Tyler Higbee","TE","LA","2026","2","NYG","1.6"
"344","Tanner Hudson","TE","CIN","2026","2","HST","1.5"
"345","Cade Stover","TE","HST","2026","2","CIN","1.5"
"346","Brenen Thompson","WR","LAC","2026","2","LV","1.5"
"347","Bo Melton","WR","GB","2026","2","NYJ","1.4"
"348","Tez Johnson","WR","TB","2026","2","CLV","1.4"
"349","John Metchie III","WR","CAR","2026","2","ATL","1.4"
"350","Ian Thomas","TE","LV","2026","2","LAC","1.4"
"351","Jeremy Ruckert","TE","NYJ","2026","2","GB","1.4"
"352","Dylan Laube","RB","LV","2026","2","LAC","1.3"
"353","Josh Cameron","WR","JAX","2026","2","DEN","1.3"
"354","Daniel Bellinger","TE","TEN","2026","2","PHI","1.3"
"355","Zachariah Branch","WR","ATL","2026","2","CAR","1.3"
"356","Tyrone Tracy Jr.","RB","NYG","2026","2","LA","1.3"
"357","Cody White","WR","LV","2026","2","LAC","1.3"
"358","Odell Beckham Jr.","WR","NYG","2026","2","LA","1.3"
"359","Brock Wright","TE","DET","2026","2","BUF","1.3"
"360","Chris Moore","WR","BLT","2026","2","NO","1.2"
"361","Mo Alie-Cox","TE","IND","2026","2","KC","1.2"
"362","Derius Davis","WR","LAC","2026","2","LV","1.2"
"363","Luke Schoonmaker","TE","DAL","2026","2","WAS","1.2"
"364","Frank Gore Jr.","RB","BUF","2026","2","DET","1.2"
"365","Kimani Vidal","RB","LAC","2026","2","LV","1.1"
"366","Xavier Smith","WR","LA","2026","2","NYG","1.1"
"367","Sean Tucker","RB","TB","2026","2","CLV","1.1"
"368","Will Kacmarek","TE","MIA","2026","2","SF","1.1"
"369","Tutu Atwell","WR","LA","2026","2","NYG","1.1"
