"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"302","John Bates","TE","WAS","2026","2","DAL","3.0"
"303","Emari Demercado","RB","DAL","2026","2","WAS","3.0"
"304","Antonio Williams","WR","WAS","2026","2","DAL","2.9"
"305","Kevin Coleman Jr.","WR","MIA","2026","2","SF","2.8"
"306","Troy Franklin","WR","DEN","2026","2","JAX","2.8"
"307","Marvin Mims Jr.","WR","DEN","2026","2","JAX","2.7"
"308","Luke Farrell","TE","SF","2026","2","MIA","2.7"
"309","Oronde Gadsden II","TE","LAC","2026","2","LV","2.7"
"310","Durham Smythe","TE","BLT","2026","2","NO","2.6"
"311","Konata Mumpfield","WR","LA","2026","2","NYG","2.5"
"312","Jahdae Walker","WR","CHI","2026","2","MIN","2.5"
"313","Kyle Juszczyk","RB","SF","2026","2","MIA","2.5"
"314","Mitchell Evans","TE","CAR","2026","2","ATL","2.4"
"315","Connor Heyward","RB","LV","2026","2","LAC","2.4"
"316","Brevyn Spann-Ford","TE","DAL","2026","2","WAS","2.4"
"317","Kaytron Allen","RB","WAS","2026","2","DAL","2.4"
"318","Josh Oliver","TE","MIN","2026","2","CHI","2.4"
"319","Adam Trautman","TE","DEN","2026","2","JAX","2.4"
"320","Hunter Luepke","RB","DAL","2026","2","WAS","2.4"
"321","Jaylen Wright","RB","MIA","2026","2","SF","2.3"
"322","Tyler Higbee","TE","LA","2026","2","NYG","2.3"
"323","Tank Bigsby","RB","PHI","2026","2","TEN","2.3"
"324","Foster Moreau","TE","HST","2026","2","CIN","2.3"
"325","KaVontae Turpin","WR","DAL","2026","2","WAS","2.2"
"326","Will Shipley","RB","PHI","2026","2","TEN","2.2"
"327","Elijah Arroyo","TE","SEA","2026","2","ARZ","2.2"
"328","Matthew Hibner","TE","BLT","2026","2","NO","2.2"
"329","Tez Johnson","WR","TB","2026","2","CLV","2.2"
"330","Jared Wayne","WR","HST","2026","2","CIN","2.1"
"331","Eli Raridon","TE","NE","2026","2","PIT","2.0"
"332","Brenen Thompson","WR","LAC","2026","2","LV","2.0"
"333","Blake Whiteheart","TE","CLV","2026","2","TB","2.0"
"334","Seth McGowan","RB","IND","2026","2","KC","2.0"
"335","Jaylin Lane","WR","WAS","2026","2","DAL","1.9"
"336","Cody White","WR","LV","2026","2","LAC","1.9"
"337","Davis Allen","TE","LA","2026","2","NYG","1.8"
"338","Erick All","TE","CIN","2026","2","HST","1.8"
"339","AJ Dillon","RB","CAR","2026","2","ATL","1.7"
"340","Austin Hooper","TE","ATL","2026","2","CAR","1.7"
"341","Malik Benson","WR","LV","2026","2","LAC","1.7"
"342","Jimmy Horn Jr.","WR","CAR","2026","2","ATL","1.7"
"343","Chris Moore","WR","BLT","2026","2","NO","1.6"
"344","Dylan Laube","RB","LV","2026","2","LAC","1.6"
"345","Tanner Hudson","TE","CIN","2026","2","HST","1.6"
"346","Travis Hunter","WR","JAX","2026","2","DEN","1.5"
"347","Cade Stover","TE","HST","2026","2","CIN","1.5"
"348","Kyle Williams","WR","NE","2026","2","PIT","1.5"
"349","Zachariah Branch","WR","ATL","2026","2","CAR","1.4"
"350","Ashton Dulin","WR","IND","2026","2","KC","1.4"
"351","Luke Schoonmaker","TE","DAL","2026","2","WAS","1.4"
"352","Bo Melton","WR","GB","2026","2","NYJ","1.4"
"353","Jeremy Ruckert","TE","NYJ","2026","2","GB","1.4"
"354","Odell Beckham Jr.","WR","NYG","2026","2","LA","1.4"
"355","Laquon Treadwell","WR","IND","2026","2","KC","1.3"
"356","Josh Cameron","WR","JAX","2026","2","DEN","1.3"
"357","Daniel Bellinger","TE","TEN","2026","2","PHI","1.3"
"358","Jonathan Mingo","WR","DAL","2026","2","WAS","1.3"
"359","Brock Wright","TE","DET","2026","2","BUF","1.3"
"360","Tyrone Tracy Jr.","RB","NYG","2026","2","LA","1.2"
"361","Emanuel Wilson","RB","SEA","2026","2","ARZ","1.2"
"362","Frank Gore Jr.","RB","BUF","2026","2","DET","1.2"
"363","Charlie Woerner","TE","ATL","2026","2","CAR","1.2"
"364","Hunter Long","TE","ARZ","2026","2","SEA","1.1"
"365","Will Kacmarek","TE","MIA","2026","2","SF","1.1"
"366","Quintin Morris","TE","JAX","2026","2","DEN","1.1"
"367","Mo Alie-Cox","TE","IND","2026","2","KC","1.1"
"368","Braxton Berrios","WR","NYG","2026","2","LA","1.1"
"369","Elijah Higgins","TE","ARZ","2026","2","SEA","1.1"
"370","Ameer Abdullah","RB","JAX","2026","2","DEN","1.0"
"371","Dohnte Meyers","WR","CIN","2026","2","HST","1.0"
"372","LaJohntay Wester","WR","BLT","2026","2","NO","1.0"
"373","DeeJay Dallas","RB","MIN","2026","2","CHI","1.0"
"374","Isaiah Davis","RB","NYJ","2026","2","GB","1.0"
"375","Brady Russell","RB","SEA","2026","2","ARZ","1.0"
"376","Alec Ingold","RB","LAC","2026","2","LV","1.0"
"377","Elijah Sarratt","WR","BLT","2026","2","NO","0.9"
"378","Bam Knight","RB","ARZ","2026","2","SEA","0.9"
"379","Jacob Cowing","WR","SF","2026","2","MIA","0.9"
"380","Nate Adkins","TE","DEN","2026","2","JAX","0.9"
"381","Brycen Tremayne","WR","CAR","2026","2","ATL","0.9"
