,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB,DB,CMP %,YPA,TD,INT,RATE,EPA/DB,FP/DB
2023,38,Jalen Hurts,PHI,QB,1,6,NYJ,8.038585209003216,50,62.2,6.22,1,3,59.5,-0.18,0.29,7,85.7,12.43,0,0,118.5,1.124,0.5,41,58.3,5.11,0,3,37.3,-0.456,0.16,19,52.9,6.59,0,2,34.1,-0.2,0.19,31,67.9,6,1,1,80.7,-0.169,0.35
2023,39,Geno Smith,SEA,QB,1,10,WAS,8.90909090909091,49,66,7.85,2,0,103.9,0.138,0.49,12,72.7,5.91,1,0,117.6,0.199,0.66,36,65.7,8.69,1,0,102.6,0.111,0.45,19,61.1,6.22,0,0,78.9,0.068,0.3,30,69,8.86,2,0,119.5,0.183,0.61
2023,40,Jimmy Garoppolo,LV,QB,1,3,PIT,25.654450261780106,49,63.6,7.36,2,3,72.5,-0.151,0.38,19,52.9,5.53,2,0,108.5,-0.169,0.62,28,72,8.88,0,3,59.5,-0.155,0.24,19,75,9.38,2,1,117.2,0.268,0.72,30,57.1,6.21,0,2,45.8,-0.416,0.17
2023,41,Nick Mullens,MIN,QB,1,18,DET,29.6969696969697,49,68.2,9,2,2,92.6,0.022,0.46,9,71.4,9.57,1,1,101.5,0.473,0.7,40,67.6,8.89,1,1,93.2,-0.079,0.4,25,71.4,8.81,0,1,78.5,-0.023,0.28,24,65.2,9.17,2,1,105.5,0.07,0.64
2023,42,Deshaun Watson,CLV,QB,1,2,PIT,23.902439024390244,49,55,5.88,1,1,70.3,-0.337,0.3,16,63.6,7.09,0,0,84.7,-0.437,0.21,32,50,5.5,0,1,51.8,-0.343,0.22,36,60,6.1,1,0,88.6,-0.233,0.34,13,40,5.2,0,1,17.5,-0.626,0.18
2023,43,Josh Allen,BUF,QB,1,14,KC,7.526881720430108,49,54.8,5.55,1,1,68.8,-0.054,0.29,17,52.9,6.94,0,1,50.6,0.128,0.22,30,60.9,5,1,0,88.1,-0.142,0.35,18,56.3,6.94,0,1,51.8,0.089,0.21,31,53.8,4.69,1,0,79.3,-0.137,0.33
2023,44,Kyler Murray,ARZ,QB,1,12,LA,16.225165562913908,49,60,5.69,1,0,83.2,-0.272,0.29,9,55.6,7.33,1,0,116,-0.1,0.74,39,62.9,5.43,0,0,77.1,-0.31,0.19,33,58.1,6.77,1,0,89.4,-0.233,0.38,16,64.3,3.29,0,0,69.3,-0.352,0.12
2023,45,Gardner Minshew,IND,QB,1,3,BLT,8.990825688073395,49,61.4,5.16,1,0,82.3,-0.172,0.27,20,50,6.15,1,0,86,0.034,0.45,29,70.8,4.33,0,0,79.2,-0.314,0.14,25,47.8,4.91,0,0,62.4,-0.214,0.18,24,76.2,5.43,1,0,104.1,-0.128,0.36
2023,46,Tua Tagovailoa,MIA,QB,1,8,NE,8.099173553719009,49,66.7,7.2,3,1,100.6,0.303,0.51,18,62.5,7.25,2,0,124,0.63,0.75,30,71.4,7.43,1,1,89.6,0.125,0.39,28,66.7,5.96,0,1,65.1,0.066,0.21,21,66.7,8.62,3,0,133.1,0.619,0.92
2023,47,Jordan Love,GB,QB,1,3,NO,7.740916271721959,49,50,5.89,1,1,66.4,-0.028,0.36,21,38.9,5.11,0,0,55.8,-0.253,0.35,28,57.7,6.42,1,1,73.7,0.141,0.36,31,42.9,5.75,1,1,58.8,-0.209,0.35,18,62.5,6.13,0,0,79.7,0.285,0.38
2023,48,Jordan Love,GB,QB,1,8,MIN,7.740916271721959,49,58.5,5.59,1,1,72.1,-0.234,0.32,7,0,0,0,0,39.6,-0.947,0,38,68.8,7.09,0,1,75.9,-0.067,0.3,25,63.2,5.89,0,0,79.3,-0.297,0.3,24,54.5,5.32,1,1,65.9,-0.168,0.33
2023,49,Justin Herbert,LAC,QB,1,3,MIN,9.496124031007753,49,85.1,8.62,3,0,123.8,0.352,0.6,29,88.9,9.04,1,0,116.7,0.172,0.52,17,76.5,9.12,0,0,103.8,0.507,0.36,24,82.6,9.13,2,0,133.7,0.483,0.73,25,87.5,8.13,1,0,114.4,0.227,0.47
2023,50,Sam Howell,WAS,QB,1,12,DAL,6.911142454160791,49,63.6,6.82,0,1,74.1,-0.223,0.25,22,47.4,5.32,0,0,63.7,-0.507,0.18,27,76,7.96,0,1,81.9,0.008,0.3,34,60,6.97,0,1,67.2,-0.273,0.25,15,71.4,6.5,0,0,88.7,-0.112,0.24
2023,51,Sam Howell,WAS,QB,1,7,NYG,6.911142454160791,49,52.4,5.93,0,1,60.5,-0.274,0.21,27,56.5,6.35,0,0,75.6,0.028,0.26,19,50,6.13,0,1,43.2,-0.578,0.15,32,59.3,7.26,0,1,66.3,-0.081,0.25,17,40,3.53,0,0,50.1,-0.638,0.12
2023,52,Aidan O'Connell,LV,QB,1,17,IND,13.35149863760218,49,63.8,6.36,2,0,96,0.173,0.41,12,41.7,4.25,1,0,82.3,0.257,0.5,34,71.9,7.34,0,0,92.6,0.068,0.28,26,44,4.8,1,0,72.1,-0.068,0.34,23,86.4,8.14,1,0,115.7,0.446,0.49
2023,53,Joe Flacco,CLV,QB,1,15,CHI,22.641509433962266,48,63.6,8.5,2,3,77.3,-0.362,0.42,8,42.9,3.14,0,0,50.9,-0.629,0.11,39,66.7,9.72,1,3,72.7,-0.35,0.38,24,54.5,5.77,0,1,52.7,-0.529,0.17,24,72.7,11.23,2,2,101.9,-0.196,0.66
2023,54,Geno Smith,SEA,QB,1,6,CIN,8.727272727272728,48,65.9,7.95,0,2,69.8,-0.063,0.27,3,33.3,-0.33,0,0,42.4,-1.108,-0.01,41,74.3,9.34,0,2,79.1,0.151,0.31,27,66.7,8.79,0,1,76.9,0.094,0.29,21,64.7,6.76,0,1,59.7,-0.265,0.23
2023,55,Jared Goff,DET,QB,1,6,TB,7.476635514018691,48,68.2,8.02,2,0,107.5,0.394,0.47,8,37.5,6.5,0,0,60.4,-0.138,0.26,39,74.3,8.51,2,0,118.5,0.522,0.52,22,55.6,8.67,2,0,121.5,0.427,0.67,26,76.9,7.58,0,0,97.8,0.367,0.3
2023,56,Baker Mayfield,TB,QB,1,8,BUF,7.547169811320755,48,59.5,5.64,2,0,91.1,-0.036,0.4,8,57.1,6,2,0,114.3,0.416,1.23,39,61.8,5.74,0,0,77.5,-0.126,0.24,18,68.8,5.44,1,0,102.9,-0.111,0.43,30,53.8,5.77,1,0,83.8,0.009,0.39
2023,57,Justin Fields,CHI,QB,1,1,GB,10.50328227571116,48,64.9,5.84,1,1,78.2,-0.122,0.37,0,0,0,0,0,0,0,0,46,68.6,6.17,1,1,82.6,-0.103,0.38,35,73.1,7,1,0,105,-0.075,0.44,13,45.5,3.09,0,1,15,-0.246,0.17
2023,58,Trevor Lawrence,JAX,QB,1,15,BLT,7.5,48,58.1,6.14,1,0,83.9,-0.238,0.39,13,58.3,4.58,0,0,69.8,-0.018,0.27,35,58.1,6.74,1,0,89.3,-0.319,0.43,20,66.7,7.72,1,0,108.3,-0.036,0.54,28,52,5,0,0,66.3,-0.382,0.28
2023,59,Trevor Lawrence,JAX,QB,1,2,KC,7.5,48,53.7,5.27,0,0,68.8,-0.257,0.24,13,50,5.2,0,0,65.4,-0.118,0.34,33,58.6,5.66,0,0,74.5,-0.247,0.21,21,55,5.25,0,0,69.8,-0.032,0.29,27,52.4,5.29,0,0,67.8,-0.431,0.21
2023,60,Bryce Young,CAR,QB,1,9,IND,7.741935483870968,48,61.5,4.44,1,3,48.3,-0.438,0.25,2,0,0,0,0,0,0.428,0.65,44,62.2,4.54,0,3,39,-0.543,0.15,14,77.8,9.56,0,0,106.5,0.375,0.41,34,56.7,2.9,1,3,33.3,-0.772,0.18
2023,61,Kirk Cousins,MIN,QB,1,1,TB,14.19939577039275,47,75,7.82,2,1,102.8,0,0.45,4,75,20.75,0,0,116.7,0.934,0.83,41,76.9,6.69,2,1,100.5,-0.055,0.43,24,78.3,6.96,1,0,110.1,-0.062,0.43,23,71.4,8.76,1,1,94.1,0.066,0.47
2023,62,Joshua Dobbs,ARZ,QB,1,4,SF,9.771309771309772,47,68.3,6.46,2,0,102.2,0.183,0.47,7,60,6.8,0,0,80.4,0.595,0.44,38,67.6,6.68,1,0,96.1,0.108,0.39,17,69.2,8.23,0,0,94.1,0.623,0.42,30,67.9,5.64,2,0,106,-0.066,0.49
2023,63,Gardner Minshew,IND,QB,1,13,TEN,8.623853211009175,47,61.9,7.43,2,0,100.5,0.075,0.45,19,61.1,4.5,1,0,90.3,-0.066,0.38,25,68.2,10.5,1,0,117.8,0.414,0.55,23,65.2,7.7,0,0,88.5,0.342,0.31,24,57.9,7.11,2,0,115,-0.181,0.58
2023,64,Joe Burrow,CIN,QB,1,10,HST,11.662531017369728,47,67.5,8.68,2,2,90.3,0.056,0.47,9,37.5,3,0,0,45.8,-0.384,0.11,37,75,10.09,2,2,101.4,0.201,0.57,16,53.3,4.13,0,0,63.8,-0.061,0.15,31,76,11.4,2,2,106.3,0.116,0.63
2023,65,Trevor Lawrence,JAX,QB,1,5,BUF,7.34375,47,67.6,8.51,1,0,102.9,0.193,0.42,4,66.7,15.33,0,0,109.7,0.593,0.46,40,68.8,8.22,0,0,93.6,0.198,0.34,16,64.3,8.79,0,0,92.3,0.338,0.34,31,69.6,8.35,1,0,109.3,0.119,0.46
2023,66,Mac Jones,NE,QB,1,2,MIA,12.401055408970976,47,73.8,5.5,1,1,84.5,-0.091,0.3,7,80,8,0,0,100,-0.591,0.23,39,72.2,5.14,0,1,72.1,-0.047,0.21,26,69.6,5.43,0,1,64.6,-0.258,0.15,21,78.9,5.58,1,0,107.5,0.115,0.48
2023,67,Sam Howell,WAS,QB,1,10,SEA,6.629055007052186,47,65.9,7.09,3,0,109.3,0.248,0.52,10,55.6,4.33,1,0,103.5,-0.07,0.56,37,68.6,7.8,2,0,110.8,0.334,0.51,23,68.2,4.82,1,0,94.1,0.182,0.36,24,63.6,9.36,2,0,124.4,0.312,0.68
2023,68,Joe Flacco,CLV,QB,1,13,LA,21.69811320754717,46,52.3,5.77,2,1,75.4,-0.169,0.37,3,33.3,3.67,0,0,45.1,-0.985,0.15,40,55.3,6.18,1,1,71.7,-0.106,0.31,22,50,4.77,0,1,44.7,-0.251,0.15,24,54.5,6.77,2,0,106.1,-0.095,0.58
2023,69,Joe Flacco,CLV,QB,1,14,JAX,21.69811320754717,46,57.8,6.91,3,1,92,-0.16,0.51,7,57.1,9.71,1,1,90.2,-0.079,0.82,37,55.6,5.72,1,0,81.5,-0.274,0.33,20,55,6.95,1,1,72.7,-0.486,0.43,26,60,6.88,2,0,107.4,0.091,0.57
2023,70,Kirk Cousins,MIN,QB,1,2,PHI,13.897280966767372,46,70.5,8.27,4,0,125.6,0.24,0.66,8,62.5,7.25,1,0,124,-0.268,0.79,36,73.5,8.85,2,0,119.9,0.328,0.56,23,77.3,6.68,2,0,124.6,-0.066,0.6,23,63.6,9.86,2,0,126.5,0.546,0.73
2023,71,Dak Prescott,DAL,QB,1,13,SEA,7.01219512195122,46,70.7,7.29,3,0,115.8,0.282,0.54,3,66.7,6.67,0,0,85.4,0.834,0.27,39,69.4,7.14,2,0,108.2,0.204,0.47,21,55.6,6.44,2,0,112.3,0.119,0.64,25,82.6,7.96,1,0,114.3,0.42,0.45
2023,72,Joshua Dobbs,ARZ,QB,1,6,LA,9.563409563409564,46,51.2,5.73,0,1,58.5,-0.269,0.3,5,20,1.8,0,0,39.6,-0.334,0.07,39,55.9,5.85,0,0,73,-0.08,0.34,22,45,5.75,0,0,63.5,-0.269,0.32,24,57.1,5.71,0,1,53.7,-0.269,0.28
2023,73,Baker Mayfield,TB,QB,1,7,ATL,7.232704402515723,46,64.3,6.55,1,1,81,-0.051,0.37,5,40,2.2,0,0,47.9,-0.553,0.09,36,72.7,7.85,1,1,92.9,0.108,0.46,9,62.5,9.63,0,0,94.3,0.351,0.34,37,64.7,5.82,1,1,77.8,-0.149,0.38
