,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,G,ALIGN,RTE %,TGT %,RTE,TGT,YPRR,TPRR,aDOT,AY,YDS,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,74,Jacksonville Jaguars,17,Inline,100,13.877551020408163,2465,68,0.21,0.03,7.19,489,529,7.78,10.58,50,73.5,238,4.76,75,1.5,5,3.48,11,6,4,28,0.011,120.3,52,0,5,7.4,56,82.4,7,16.7,2,2.9,10,4,40,1,4,0.08,0,0.43,0.292,375,236.8,100,8.8,132.9,121.4,7.82,7.14,0.68,0.05,0.05,121.4
2025,75,Carolina Panthers,17,Inline,100,15.66579634464752,1961,60,0.26,0.03,5.02,301,517,8.62,10.55,49,81.7,326,6.65,92,1.88,5,4.6,12,4,3,29,0.015,130.3,40,0,6,10,53,88.3,2,15,4,6.7,3,2,66.7,0,7,0.14,0,1.74,0.622,303.3,228.3,100,6.7,130.7,119.3,7.69,7.02,0.67,0.07,0.06,119.3
2025,76,Cleveland Browns,16,Inline,100,16.62049861495845,1932,60,0.26,0.03,4.55,273,510,8.5,10.41,49,81.7,352,7.18,107,2.18,5,5.24,10,5,3,23,0.012,122.9,41,0,4,6.7,54,90,4,9.8,4,6.7,3,2,66.7,0,6,0.12,0,1.63,0.267,296.7,196.7,100,8.3,130,124.5,8.13,7.78,0.35,0.07,0.06,124.5
2025,77,New Orleans Saints,17,Inline,100,17.36842105263158,1969,66,0.26,0.03,4.73,312,508,7.7,9.58,53,80.3,337,6.36,134,2.53,5,4.48,12,4,2,27,0.014,117.7,48,0,8,12.1,57,86.4,4,8.9,3,4.5,6,5,83.3,1,9,0.17,0,0.68,0.249,281.8,186.4,100,7.6,133.8,125.6,7.87,7.39,0.48,0.07,0.06,125.6
2025,78,Seattle Seahawks,17,Inline,100,15.945330296127564,2405,70,0.2,0.03,4.14,290,490,7,9.42,52,74.3,325,6.25,76,1.46,3,2.72,10,3,1,28,0.012,107.4,47,0,9,12.9,63,90,3,17.4,9,12.9,7,4,57.1,0,5,0.1,0,0.22,0.364,287.1,231.4,100,8.6,119,120.1,7,7.07,-0.07,0.05,0.05,120.1
2025,79,Kansas City Chiefs,17,Inline,100,13.917525773195877,1949,54,0.25,0.03,4.28,231,487,9.02,10.82,45,83.3,326,7.24,84,1.87,1,1.3,5,1,0,18,0.009,102.7,32,0,8,14.8,49,90.7,4,16.7,2,3.7,6,3,50,0,2,0.04,0,2.24,0.32,333.3,275.9,100,9.3,99.7,90.3,5.86,5.31,0.55,0.05,0.05,90.3
2025,80,Dallas Cowboys,17,Inline,100,14.390243902439023,2224,59,0.22,0.03,5.42,320,481,8.15,9.43,51,86.4,239,4.69,98,1.92,2,1.96,7,1,1,24,0.011,111.9,42,0,7,11.9,53,89.8,1,8.9,2,3.4,7,7,100,0,4,0.08,0,1.06,0.453,344.1,240.7,100,10.2,111.1,102.3,6.54,6.02,0.52,0.05,0.05,102.3
2025,81,Los Angeles Rams,14,Inline,100,15.261958997722095,2319,67,0.2,0.03,4.64,311,474,7.07,8.62,55,82.1,230,4.18,89,1.62,4,2.72,7,2,2,24,0.01,103.6,34,0,5,7.5,63,94,2,10.4,3,4.5,15,10,66.7,0,5,0.09,0,0.24,0.23,314.9,237.3,100,3,126.4,117,9.03,8.36,0.67,0.05,0.05,117
2025,82,Chicago Bears,17,Inline,100,16.502463054187192,2112,67,0.22,0.03,4.81,322,460,6.87,7.93,58,86.6,268,4.62,79,1.36,4,3.93,9,3,2,20,0.009,102.7,51,0,6,9,62,92.5,2,10,3,4.5,10,8,80,0,7,0.12,0,0.06,0.233,276.1,228.4,100,1.5,128,121.4,7.53,7.14,0.39,0.06,0.06,121.4
2025,83,New York Jets,16,Inline,100,14.17910447761194,1931,57,0.24,0.03,4.19,239,459,8.05,9.98,46,80.7,325,7.07,101,2.2,7,6.78,11,5,5,31,0.016,139.8,43,0,8,14,52,91.2,2,13.5,3,5.3,8,6,75,0,3,0.07,0,1.16,0.487,333.3,261.4,100,10.5,133.9,130.3,8.37,8.15,0.22,0.07,0.07,130.3
