,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Cover 2,Cover 2,Cover 2,Cover 3,Cover 3,Cover 3,Cover 4,Cover 4,Cover 4,Cover 6,Cover 6,Cover 6
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,SEP MS,ADOR,TGT %,+1 Rate,+2 Rate,+3 Rate,Neg Rate,TGT,REC,YDS,TD,AY,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,YPRR,TPRR,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE,RTE,SEP SCORE,WIN RATE
2026,42,Josh Downs,IND,WR,1,2,KC,96.42857142857143,100,27,0.296,2.67,0.33,25.9,33.3,6.7,29,14.8,11.1,0,7.4,9,7,72,0,59,12,0.417,3.17,0.5,41.7,15,0.2,2.27,0.2,13.3,0,0,0,0,0,2,0,0,8,0.375,25,3,0,0,2,0,0
2026,43,Marvin Harrison,ARZ,WR,1,2,SEA,100,0,27,-0.185,0,0,0,0,9.6,0,0,0,0,18.5,0,0,0,0,0,1,0,0,0,0,25,-0.2,0,0,0,1,0,0,0,0,6,0,0,9,-0.111,0,3,-1,0,7,-0.143,0
2026,44,Denzel Boston,CLV,WR,1,2,TB,100,100,27,0.185,3.52,0.26,22.2,42.9,8.5,23.3,14.8,7.4,0,11.1,7,5,95,1,63,10,0.3,0.9,0.3,40,17,0.118,5.06,0.24,11.8,0,0,0,0,0,4,0,0,9,0,11.1,4,0.5,25,0,0,0
2026,45,Courtland Sutton,DEN,WR,1,2,JAX,100,100,26,0.038,0.96,0.15,7.7,22.2,7.3,12.9,7.7,0,0,3.8,4,3,25,0,32,6,0,0,0.17,16.7,18,0.056,1.39,0.17,5.6,2,0,0,0,0,1,0,0,8,0.125,12.5,5,0,0,4,0,0
2026,46,CeeDee Lamb,DAL,WR,1,2,WAS,92.85714285714286,100,26,0.308,5.88,0.35,23.1,42.9,4.9,29,11.5,7.7,3.8,7.7,9,8,153,2,132,3,0,3.33,0.33,33.3,19,0.316,7.37,0.37,21.1,4,0.5,0.75,0.25,25,8,0.125,12.5,1,0,0,6,0.333,16.7,4,0.75,50
2026,47,George Pickens,DAL,WR,1,2,WAS,96.29629629629629,100,26,0.115,1.54,0.31,15.4,28.6,7.7,25.8,15.4,0,0,3.8,8,6,40,0,73,3,0.333,1,0.67,33.3,21,0.048,1.76,0.24,9.5,2,0.5,0,0.5,50,7,0.143,14.3,2,0,0,8,0.125,12.5,4,-0.25,0
2026,48,Christian Watson,GB,WR,1,2,NYJ,100,100,26,0.231,1.58,0.38,19.2,62.5,4.2,34.5,15.4,3.8,0,0,10,4,41,1,96,8,0.5,1,0.63,50,17,0.118,1.94,0.29,5.9,1,0,0,0,0,12,0.167,8.3,4,0,0,1,0,0,0,0,0
2026,49,Dontayvion Wicks,PHI,WR,1,2,TEN,96.29629629629629,100,26,0.154,2.85,0.23,11.5,20,10.3,16.2,3.8,7.7,0,3.8,6,5,74,0,70,4,0.5,5,0.25,50,21,0.095,2.57,0.24,4.8,1,0,0,0,0,5,0,0,3,0,0,7,0.286,14.3,6,0,0
2026,50,Colston Loveland,CHI,TE,1,2,MIN,100,100,26,0,0.12,0.08,3.8,14.3,5.8,5.7,3.8,0,0,3.8,2,1,3,0,16,2,0,0,0,50,20,0,0.15,0.05,0,4,0,0,0.25,0,5,0,0,7,0,0,2,0,0,6,0,0
2026,51,Matthew Golden,GB,WR,1,2,NYJ,100,100,26,0.115,2.23,0.23,11.5,37.5,4.8,20.7,3.8,7.7,0,7.7,6,4,58,0,78,8,0.5,2.25,0.25,37.5,17,-0.059,2.35,0.24,0,1,0,0,0,0,11,-0.091,0,4,0,0,2,0,0,0,0,0
