,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,PERS,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,38,Mike Washington,LV,RB,1,21,57.14285714285714,29.2,4,40,0,32,8,0,0.01,0,1,25,18,56.3,0,0,50,25,14.5,5.5,25,2.5,31.3,0,0,-0.033,-0.1,4,100,32,0,8,50,0,0,0,0,0,0,3.2,1.8,3.2,1.83,1.37
2026,39,Cam Skattebo,NYG,RB,1,22,38.88888888888889,94.1,7,70,0,31,4.43,0,0.07,0,3,0,0,0,0,0,57.1,42.9,3.2,2.43,14.3,2,45.2,0,0,-0.125,-0.9,1,14.3,7,0,7,100,6,85.7,24,0,4,50,3.1,3.2,3.1,3.19,-0.09
2026,40,Jordan Mason,MIN,RB,1,12,13.333333333333334,33.3,2,28.6,0,29,14.5,0,0,0,1,50,28,96.6,0,0,50,50,19.7,11.5,50,3,20.7,0,0,0.561,1.1,2,100,29,0,14.5,50,0,0,0,0,0,0,2.9,1,2.9,0.95,1.95
2026,41,AJ Dillon,CAR,RB,1,11,80,14.3,4,44.4,0,28,7,0,0,0,1,25,11,39.3,0,0,100,0,12.7,3,0,4,57.1,1,0.25,0.221,0.9,1,25,7,0,7,100,3,75,21,0,7,100,2.8,1.6,2.8,1.55,1.25
2026,42,Javonte Williams,DAL,RB,1,11,66.66666666666666,68.4,8,72.7,0,28,3.5,0,0.26,0,1,0,0,0,100,0,50,50,-3.5,1,50,2.5,71.4,0,0,0.027,0.2,5,62.5,15,0,3,40,3,37.5,13,0,4.33,66.7,2.8,4.7,2.8,4.69,-1.89
2026,43,Blake Corum,LA,RB,1,11,30,16.1,3,30,0,27,9,0,0,0,2,66.7,23,85.2,0,0,100,0,13.7,8,0,1,11.1,2,0.67,0.496,1.5,0,0,0,0,0,0,3,100,27,0,9,100,2.7,1.4,2.7,1.36,1.34
2026,44,Blake Corum,LA,RB,1,13,70,38.1,7,43.8,0,27,3.86,0,0.01,0,0,0,0,0,0,0,57.1,42.9,-1.7,2.57,42.9,1.29,33.3,0,0,-0.1,-0.7,3,42.9,19,0,6.33,100,4,57.1,8,0,2,25,2.7,2.9,2.7,2.92,-0.22
2026,45,Cam Skattebo,NYG,RB,1,21,38.88888888888889,83.3,7,77.8,0,27,3.86,1,0.98,0,2,16.7,10,37,100,14.3,57.1,28.6,-2.6,1.57,28.6,2.29,59.3,3,0.43,-0.136,-1,4,57.1,19,0,4.75,50,2,28.6,8,1,4,100,8.7,8.9,8.7,8.87,-0.17
2026,46,Tony Pollard,TEN,RB,1,12,57.14285714285714,85.7,4,80,0,26,6.5,0,0,0,1,25,13,50,0,0,75,25,7.9,3.75,25,2.75,42.3,1,0.25,0.116,0.5,1,25,5,0,5,100,3,75,21,0,7,66.7,2.6,1.8,2.6,1.83,0.77
2026,47,Breece Hall,NYJ,RB,1,12,31.818181818181817,73.3,7,77.8,0,24,3.43,1,0.74,0,2,0,0,0,100,14.3,57.1,28.6,-4.7,1.71,28.6,1.71,50,0,0,0.13,0.9,4,57.1,15,1,3.75,75,3,42.9,9,0,3,33.3,8.4,7.3,8.4,7.28,1.12
