,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,COV,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2026,44,Cade Otton,TB,TE,1,Cover 6,31.03448275862069,40,100,9,90,2,25,1.44,0.22,5,10,52.6,13,24.1,6.5,13,1,50,16,16,4,4,0,0,0,0,0,0,1,0.111,70.8,2,33.3,1,50,2,100,0,0,1,50,0,0,0,0,0,0,25,-1.42,0.027,11.1,33.3,55.6,0,2.3,3.9,2.3,3.92,-1.62,0.26,0.44,3.9
2026,45,Davis Allen,LA,TE,1,Cover 1,25,100,25,1,25,1,25,13,1,-1,-1,-4.5,13,59.1,13,13,1,100,14,14,5,5,0,0,0,0,0,0,1,1,118.8,1,25,0,0,1,100,0,0,0,0,0,0,0,0,1,1,100,8.1,1.198,0,0,100,0,2.3,1.6,2.3,1.57,0.73,2.3,1.57,1.6
2026,46,Matthew Hibner,BLT,TE,1,Cover 6,20,100,50,1,50,1,100,13,1,2,2,100,13,100,13,13,1,100,11,11,2,2,0,0.01,0,0,0,0,1,1,118.8,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,6.63,0.854,0,0,100,0,2.3,1.6,2.3,1.62,0.68,2.3,1.62,1.6
2026,47,Dallas Goedert,PHI,TE,1,Cover 3,11.538461538461538,20,83.3,3,50,1,25,4,0.33,9,9,90,12,63.2,12,12,1,100,3,3,2,2,0,0,0,0,0,0,0,0,116.7,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,33.3,4.74,0.529,0,33.3,66.7,0,2.2,2.1,2.2,2.12,0.08,0.73,0.71,2.1
2026,48,Greg Dulcich,MIA,TE,1,Cover 3,54.54545454545454,50,84.2,12,63.2,1,7.7,1,0.08,-2,-2,-1.1,12,8.9,12,12,1,100,14,14,4,4,0,0,0,0,0,0,1,0.083,116.7,1,11.1,1,100,1,100,0,0,0,0,0,0,0,0,0,0,9.1,7.15,1.313,25,8.3,66.7,0,2.2,1.6,2.2,1.56,0.64,0.18,0.13,1.6
2026,49,Luke Schoonmaker,DAL,TE,1,Cover 1,20,100,14.3,1,14.3,1,14.3,12,1,12,12,16.2,12,27.9,12,12,1,100,0,0,0,0,0,0.01,0,0,0,0,0,0,116.7,1,20,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,3.33,0.87,0,0,100,0,2.2,2.2,2.2,2.19,0.01,2.2,2.19,2.2
2026,50,Tucker Kraft,GB,TE,1,Cover 6,4.545454545454546,16.666666666666664,28.6,1,14.3,1,16.7,12,1,11,11,28.9,12,50,12,12,1,100,1,1,0,0,0,0.01,0,0,0,0,1,1,116.7,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,3.26,0.77,0,0,100,0,2.2,2.4,2.2,2.4,-0.2,2.2,2.4,2.4
2026,51,Gunnar Helm,TEN,TE,1,Cover 2,27.27272727272727,20,81.8,6,54.5,1,10,2,0.17,4,4,20,12,23.1,12,12,1,100,8,8,2,2,0,0,0,0,0,0,0,0,116.7,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,16.7,5.93,0.119,16.7,50,16.7,16.7,2.2,1.6,2.2,1.65,0.55,0.37,0.27,1.6
2026,52,Harold Fannin,CLV,TE,1,Cover 3,22.727272727272727,66.66666666666666,66.7,5,55.6,2,25,2.4,0.4,4.5,9,15,12,20,6,12,1,50,7,7,3,3,0,0.01,0,0,0,0,1,0.2,68.8,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,33.3,-0.27,-0.333,20,20,60,0,2.2,1.8,2.2,1.79,0.41,0.44,0.36,1.8
2026,53,Darren Waller,CAR,TE,1,Cover 3,21.428571428571427,50,50,3,37.5,1,14.3,3.67,0.33,5,5,5.7,11,9.9,11,11,1,100,6,6,2,2,0,0,0,0,0,0,1,0.333,112.5,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,25,4.52,0.153,0,66.7,33.3,0,2.1,1.8,2.1,1.75,0.35,0.7,0.58,1.8
2026,54,Mike Gesicki,CIN,TE,1,Cover 2,5.88235294117647,14.285714285714285,20,1,20,1,20,11,1,6,6,15,11,37.9,11,11,1,100,5,5,2,2,0,0,0,0,0,0,1,1,112.5,1,20,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,3.91,0.904,0,100,0,0,2.1,1.9,2.1,1.86,0.24,2.1,1.86,1.9
2026,55,Drew Sample,CIN,TE,1,Cover 4,7.142857142857142,33.33333333333333,33.3,1,33.3,1,33.3,11,1,2,2,0,11,73.3,11,11,1,100,9,9,1,1,0,0.03,0,1,0,0,1,1,112.5,1,50,0,0,1,100,0,0,0,0,0,0,0,0,0,0,100,4.63,1.002,0,0,100,0,2.1,1.8,2.1,1.81,0.29,2.1,1.81,1.8
2026,56,Dalton Kincaid,BUF,TE,1,Cover 2,13.636363636363635,33.33333333333333,80,3,60,2,40,3.67,0.67,9,18,72,11,37.9,5.5,11,1,50,-1,-1,0,0,0,0.03,0,0,0,0,1,0.333,66.7,1,50,0,0,2,100,0,0,1,50,1,1,100,0,0,0,50,-2.38,0.048,0,33.3,66.7,0,2.1,3.7,2.1,3.7,-1.6,0.7,1.23,3.7
2026,57,Mark Andrews,BLT,TE,1,Cover 3,9.523809523809524,16.666666666666664,50,2,50,1,25,5,0.5,8,8,42.1,10,12,10,10,1,100,2,2,1,1,0,0,0,0,0,0,0,0,108.3,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,50,2.28,-0.401,0,100,0,0,2,2.1,2,2.1,-0.1,1,1.05,2.1
2026,58,Noah Fant,NO,TE,1,Cover 0,22.22222222222222,37.5,40,4,40,3,37.5,2.5,0.75,4.33,13,32.5,10,33.3,3.33,10,1,33.3,6,6,0,0,0,0,0,0,0,0,1,0.25,4.2,3,37.5,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,100,-2.87,-1.905,25,0,75,0,2,1.7,2,1.73,0.27,0.5,0.43,1.7
2026,59,Adam Trautman,DEN,TE,1,Cover 4,85.71428571428571,100,75,6,75,3,42.9,1.67,0.5,-0.33,-1,-50,10,38.5,3.33,5,2,66.7,8,4,3,1.5,0,0,0,0,0,0,0,0,71.5,1,33.3,1,33.3,3,100,0,0,1,33.3,0,0,0,0,0,0,60,-2.51,-0.222,0,16.7,83.3,0,3,4.8,3,4.77,-1.77,0.5,0.79,4.8
2026,60,Pat Freiermuth,PIT,TE,1,Cover 6,9.67741935483871,20,100,3,100,1,33.3,3.33,0.33,5,5,18.5,10,33.3,10,10,1,100,5,5,3,3,0,0.01,0,0,0,0,0,0,108.3,1,50,0,0,1,100,0,0,0,0,0,0,0,0,0,0,33.3,3.52,0.577,0,100,0,0,2,1.8,2,1.83,0.17,0.67,0.61,1.8
2026,61,Trey McBride,ARZ,TE,1,Cover 4,32.35294117647059,16.666666666666664,91.7,11,91.7,2,16.7,0.91,0.18,7,14,14.7,10,13.2,5,10,1,50,5,5,3,3,0,0.04,0,0,0,0,1,0.091,64.6,2,25,0,0,2,100,0,0,1,50,0,0,0,0,0,0,20,-1.87,0.142,0,72.7,27.3,0,2,3.9,2,3.94,-1.94,0.18,0.36,3.9
2026,62,Cade Otton,TB,TE,1,Cover 1,24.137931034482758,20,100,7,63.6,1,10,1.43,0.14,0,0,0,10,9.5,10,10,1,100,10,10,4,4,0,0.01,0,1,0,0,1,0.143,108.3,1,11.1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,10,4.71,0.503,14.3,42.9,42.9,0,2,1.6,2,1.56,0.44,0.29,0.22,1.6
2026,63,Gunnar Helm,TEN,TE,1,Cover 0,4.545454545454546,20,100,1,100,1,100,10,1,-1,-1,0,10,100,10,10,1,100,11,11,6,6,0,0,0,0,0,0,1,1,108.3,1,100,1,100,1,100,0,0,0,0,0,0,0,0,0,0,100,5.1,0.957,0,100,0,0,2,1.6,2,1.56,0.44,2,1.56,1.6
2026,64,Evan Engram,DEN,TE,1,Cover 2,20,25,80,4,80,1,33.3,2.25,0.25,2,2,12.5,9,33.3,9,9,1,100,7,7,7,7,0,0,0,0,0,0,1,0.25,104.2,1,100,1,100,1,100,0,0,0,0,0,0,0,0,1,1,33.3,2.63,1.062,0,25,75,0,1.9,1.6,1.9,1.63,0.27,0.47,0.41,1.6
2026,65,Evan Engram,DEN,TE,1,Cover 4,20,25,62.5,4,50,1,14.3,2.25,0.25,2,2,100,9,34.6,9,9,1,100,7,7,1,1,0,0,0,0,0,0,0,0,104.2,1,33.3,0,0,1,100,0,0,0,0,0,0,0,0,0,0,25,2.63,0.742,25,0,75,0,1.9,1.7,1.9,1.67,0.23,0.47,0.42,1.7
2026,66,Foster Moreau,HST,TE,1,Cover 4,22.22222222222222,50,37.5,2,25,1,12.5,4.5,0.5,5,5,12.8,9,12,9,9,1,100,4,4,2,2,0,0,0,0,0,0,0,0,104.2,1,16.7,0,0,1,100,0,0,0,0,1,1,100,0,0,0,33.3,2.52,0.794,50,0,50,0,1.9,1.1,1.9,1.14,0.76,0.95,0.57,1.1
2026,67,Noah Fant,NO,TE,1,Cover 3,50,37.5,38.5,9,34.6,3,13,1,0.33,6.33,19,8.9,9,5.5,3,9,1,33.3,7,7,1,1,0,0,0,0,0,0,0,0,2.8,1,7.1,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,33.3,-4.4,-1.791,11.1,0,88.9,0,1.9,1.7,1.9,1.69,0.21,0.21,0.19,1.7
2026,68,Juwan Johnson,NO,TE,1,Cover 1,10.204081632653061,16.666666666666664,100,5,100,1,20,1.8,0.2,16,16,28.6,9,16.4,9,9,1,100,0,0,0,0,1,0.92,50,1,1,1,1,0.2,143.8,1,20,0,0,1,100,0,0,0,0,0,0,0,0,0,0,20,-1.19,2.183,40,20,40,0,7.9,7.2,7.9,7.17,0.73,1.58,1.43,7.2
2026,69,Pat Freiermuth,PIT,TE,1,Cover 4,19.35483870967742,20,100,6,85.7,1,14.3,1.5,0.17,-2,-2,-3.6,9,18,9,9,1,100,11,11,7,7,0,0,0,0,0,0,1,0.167,104.2,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,14.3,4.15,0.777,16.7,50,33.3,0,1.9,1.5,1.9,1.55,0.35,0.32,0.26,1.5
