,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2025,164,Bijan Robinson,ATL,RB,1,14,SEA,6.382978723404255,64.9,15,60,0,69,4.6,0,0.06,1,3,6.7,11,15.9,0,0,46.7,46.7,6.2,2.8,20,1.8,39.1,3,0.2,-0.315,-4.7,13,86.7,57,0,4.38,46.2,2,13.3,12,0,6,50,5.9,6.6,5.9,6.64,-0.74
2025,165,Bijan Robinson,ATL,RB,1,16,ARZ,5.106382978723404,58.5,12,40,0,69,5.75,0,0.53,0,4,30,52,75.4,50,0,41.7,58.3,21.7,4.5,41.7,1.25,21.7,6,0.5,-0.069,-0.8,11,91.7,57,0,5.18,36.4,1,8.3,12,0,12,100,26.6,19,26.6,18.95,7.65
2025,166,Saquon Barkley,PHI,RB,1,15,LV,8.658008658008658,58.9,20,50,0,68,3.4,1,1.39,0,4,13.3,28,41.2,42.9,5,50,45,-3.3,1.1,30,2.3,67.6,2,0.1,-0.141,-2.8,12,60,36,0,3,50,8,40,32,1,4,50,16.2,20.1,16.2,20.14,-3.94
2025,167,Jaylen Warren,PIT,RB,1,12,CHI,9.375,64,18,54.5,0,68,3.78,1,0.79,0,6,5.9,12,17.6,50,5.6,61.1,22.2,2.6,2.39,22.2,1.39,36.8,2,0.11,0.03,0.5,6,33.3,18,1,3,33.3,12,66.7,50,0,4.17,75,12.8,11.3,12.8,11.27,1.53
2025,168,Kyren Williams,LA,RB,1,13,CAR,5.217391304347826,65.7,12,66.7,0,68,5.67,1,0.23,0,4,10,12,17.6,0,8.3,91.7,8.3,20.6,4.17,0,1.5,26.5,2,0.17,0.388,4.7,6,50,37,0,6.17,83.3,6,50,31,1,5.17,100,12.8,6.1,12.8,6.13,6.67
2025,169,Kyren Williams,LA,RB,1,4,IND,5.217391304347826,59.5,12,57.1,0,68,5.67,0,0.02,1,6,25,33,48.5,0,0,91.7,8.3,16.9,3.5,8.3,2.17,38.2,4,0.33,-0.212,-2.5,10,83.3,61,0,6.1,90,2,16.7,7,0,3.5,100,7.8,6.9,7.8,6.86,0.94
2025,170,Breece Hall,NYJ,RB,1,13,ATL,9.35960591133005,86.7,19,90.5,0,68,3.58,1,0.93,0,3,0,0,0,100,5.3,57.9,36.8,-8.2,0.95,47.4,2.63,73.5,4,0.21,-0.067,-1.3,7,36.8,34,0,4.86,57.1,12,63.2,34,1,2.83,58.3,15.1,15.6,15.1,15.57,-0.47
2025,171,Woody Marks,HST,RB,1,17,LAC,10.843373493975903,64.6,18,60,0,68,3.78,0,0.07,0,3,5.6,19,27.9,0,0,61.1,33.3,-5.9,2.22,27.8,1.56,41.2,2,0.11,-0.151,-2.7,6,33.3,8,0,1.33,33.3,12,66.7,60,0,5,75,6.8,7.8,6.8,7.79,-0.99
2025,172,Aaron Jones,MIN,RB,1,14,WAS,11.11111111111111,42.9,13,48.1,0,67,5.15,0,0.35,0,4,8.3,18,26.9,0,0,69.2,30.8,10.8,2.15,15.4,3,58.2,3,0.23,0.146,1.9,8,61.5,43,0,5.38,62.5,5,38.5,24,0,4.8,80,6.7,7.7,6.7,7.71,-1.01
2025,173,Aaron Jones,MIN,RB,1,9,DET,5.982905982905983,40,7,31.8,0,67,9.57,0,0.01,0,3,42.9,56,83.6,0,0,71.4,28.6,36.2,8,28.6,1.57,16.4,1,0.14,0.491,3.4,4,57.1,21,0,5.25,75,2,28.6,15,0,7.5,50,8.3,4.7,8.3,4.74,3.56
2025,174,Tony Pollard,TEN,RB,1,15,SF,5.46448087431694,51.5,10,66.7,0,67,6.7,0,0.01,0,2,10,22,32.8,0,0,60,20,25.3,4.1,20,2.6,38.8,3,0.3,0.193,1.9,4,40,41,0,10.25,75,6,60,26,0,4.33,50,6.7,4.2,6.7,4.24,2.46
2025,175,Kenneth Walker,SEA,RB,1,10,ARZ,7.179487179487179,40.4,14,34.1,0,67,4.79,0,1.38,0,3,15.4,34,50.7,50,0,50,42.9,-1.8,2.64,28.6,2.14,44.8,5,0.36,-0.077,-1.1,5,35.7,24,0,4.8,60,9,64.3,43,0,4.78,44.4,8,16.7,8,16.67,-8.67
2025,176,Derrick Henry,BLT,RB,1,10,MIN,6.093189964157706,71.4,17,58.6,0,66,3.88,0,0.75,0,5,12.5,27,40.9,50,0,52.9,41.2,-2,1.71,35.3,2.18,56.1,3,0.18,-0.082,-1.4,12,70.6,43,0,3.58,50,5,29.4,23,0,4.6,60,10.5,15.2,10.5,15.23,-4.73
2025,177,Josh Jacobs,GB,RB,1,1,DET,9.693877551020408,87.2,19,82.6,0,66,3.47,1,0.88,0,3,11.8,25,37.9,100,5.3,52.6,47.4,-8.7,1.11,47.4,2.37,68.2,2,0.11,-0.021,-0.4,9,47.4,30,1,3.33,55.6,10,52.6,36,0,3.6,50,14,14.4,14,14.38,-0.38
