,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,19,Drake London,ATL,WR,1,9,NE,26.41509433962264,36,98.1,14,100,9,64.3,7,0.64,12,108,59,98,77.8,10.89,16.33,6,66.7,19,3.17,8,1.33,1,0.94,100,2,1,1,5,0.357,140,6,60,0,0,7,77.8,2,40,0,0,4,2,50,3,0,0,64.3,2.51,0.407,78.6,21.4,0,0,21.8,18.4,21.8,18.42,3.38,1.56,1.32,18.4
2025,20,Michael Pittman,IND,WR,1,9,PIT,37.096774193548384,30.76923076923077,89.2,23,92,8,32,4.17,0.35,15,120,35.8,96,41.9,12,13.71,7,87.5,20,2.86,3,0.43,0,0.12,0,0,0,0,6,0.261,118.8,7,29.2,0,0,8,100,1,14.3,0,0,1,0,0,1,0,0,33.3,2.27,1.208,78.3,21.7,0,0,16.6,19.9,16.6,19.86,-3.26,0.72,0.86,19.9
2025,21,Tee Higgins,CIN,WR,1,7,PIT,30.136986301369863,23.333333333333332,86.1,22,81.5,7,25.9,4.36,0.32,11.43,80,35.6,96,40.2,13.71,16,6,85.7,34,5.67,2,0.33,1,0.31,50,1,0,0,3,0.136,158.3,6,28.6,0,0,6,85.7,1,40,0,0,1,1,100,0,2,0.33,29.2,5.03,1.372,86.4,13.6,0,0,21.6,13.9,21.6,13.94,7.66,0.98,0.63,13.9
2025,22,Marvin Harrison,ARZ,WR,1,9,DAL,32.55813953488372,38.46153846153847,70.8,14,87.5,10,62.5,6.86,0.71,11.7,117,60,96,53.6,9.6,13.71,7,70,22,3.14,20,2.86,1,1.1,100,2,1,1,6,0.429,133.7,9,81.8,0,0,8,80,0,20,0,0,2,1,50,0,1,0.14,71.4,0.75,0.785,92.9,7.1,0,0,22.6,22.5,22.6,22.46,0.14,1.61,1.6,22.5
2025,23,Jaxon Smith-Njigba,SEA,WR,1,10,ARZ,11.11111111111111,12.82051282051282,40.7,6,100,5,83.3,15.5,0.83,16,80,87,93,58.1,18.6,18.6,5,100,13,2.6,7,1.4,1,0.98,100,0,0,0,4,0.667,158.3,4,100,0,0,5,100,1,20,0,0,1,1,100,0,0,0,83.3,9.26,1.403,100,0,0,0,20.3,19,20.3,18.96,1.34,3.38,3.16,19
2025,24,Mack Hollins,NE,WR,1,10,TB,21.666666666666668,27.586206896551722,79.7,13,92.9,8,57.1,7,0.62,16.75,134,70.9,91,47.9,11.38,18.2,5,62.5,12,2.4,-1,-0.2,0,0.26,0,0,0,0,3,0.231,101.6,7,58.3,0,0,5,62.5,3,20,0,0,1,1,100,0,0,0,61.5,1.94,0.55,92.3,7.7,0,0,14.1,14.3,14.1,14.3,-0.2,1.08,1.1,14.3
2025,25,Mack Hollins,NE,WR,1,8,CLV,25,24.137931034482758,73.8,15,88.2,7,41.2,5.93,0.47,8.57,60,29.6,89,46.1,12.71,12.71,7,100,29,4.14,11,1.57,0,0.37,0,1,0,0,4,0.267,118.8,7,43.8,0,0,7,100,0,16.7,0,0,0,0,0,0,0,0,46.7,4.95,0.745,80,20,0,0,15.9,16.8,15.9,16.77,-0.87,1.06,1.12,16.8
2025,26,Darius Slayton,NYG,WR,1,10,CHI,26.08695652173913,26.666666666666668,62.9,6,54.5,4,36.4,14.83,0.67,17.25,69,44.5,89,74.2,22.25,22.25,4,100,20,5,7,1.75,0,0.04,0,0,0,0,3,0.5,118.8,3,50,0,0,4,100,2,50,0,0,1,1,100,1,0,0,66.7,12.68,1.759,100,0,0,0,12.9,10.3,12.9,10.34,2.56,2.15,1.72,10.3
2025,27,Puka Nacua,LA,WR,1,9,NO,21.951219512195124,26.08695652173913,49.4,9,64.3,6,42.9,9.67,0.67,11,66,33.3,87,46.8,14.5,14.5,6,100,21,3.5,14,2.33,1,0.83,33.3,1,0,0,2,0.222,158.3,6,42.9,1,16.7,6,100,1,20,0,0,1,1,100,1,1,0.17,60,6.22,1.179,88.9,11.1,0,0,20.7,17.1,20.7,17.08,3.62,2.3,1.9,17.1
2025,28,Emeka Egbuka,TB,WR,1,10,NE,23.376623376623375,27.027027027027028,87.9,18,90,10,50,4.83,0.56,11.4,114,53.5,87,63,8.7,21.75,4,40,30,7.5,8,2,0,0.1,0,2,1,0,4,0.222,71.7,9,69.2,0,0,5,50,0,75,0,0,2,1,50,0,0,0,52.6,-0.18,0.155,72.2,27.8,0,0,12.7,11.2,12.7,11.25,1.45,0.71,0.62,11.2
2025,29,Jaylen Waddle,MIA,WR,1,10,BUF,17.5,25.925925925925924,83,7,87.5,7,87.5,12,1,23.14,162,102.5,84,100,12,16.8,5,71.4,5,1,1,0.2,1,1.06,100,0,1,1,3,0.429,111.6,6,85.7,0,0,6,85.7,4,40,0,0,1,1,100,0,0,0,100,1.03,0.65,100,0,0,0,19.4,21.6,19.4,21.65,-2.25,2.77,3.09,21.6
2025,30,DeVonta Smith,PHI,WR,1,8,NYG,14.0625,24.137931034482758,89.5,9,100,7,77.8,9.33,0.78,12.29,86,69.9,84,64.6,12,14,6,85.7,22,3.67,9,1.5,0,0.04,0,1,1,0,5,0.556,116.7,6,75,0,0,6,85.7,1,16.7,0,0,0,0,0,0,0,0,77.8,3.14,0.749,100,0,0,0,14.4,13.5,14.4,13.51,0.89,1.6,1.5,13.5
2025,31,Alec Pierce,IND,WR,1,10,ATL,17.46031746031746,20,94.6,11,100,7,63.6,7.64,0.64,19.29,135,86.5,84,75,12,21,4,57.1,15,3.75,10,2.5,1,0.5,100,0,1,1,4,0.364,99.7,7,63.6,0,0,5,71.4,3,50,0,0,2,1,50,1,0,0,63.6,2.24,0.836,90.9,9.1,0,0,18.4,13,18.4,13.03,5.37,1.67,1.18,13
