,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Alignment,Alignment,Alignment,Alignment,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,SNAP %,RTE,RTE %,TGT,TGT %,YPRR,TPRR,aDOT,AY,AY Share,YDS,TM YDS %,YPT,YPR,REC,CR %,YAC,YAC/REC,YACO,YACO/REC,TD,XTD,TM TD %,i20 TGT,EZTGT,EZTD,1D,1D/RR,RATE,1READ,1READ %,DESIGN,DESIGN %,CTGT,CTGT %,DEEP,EXP %,DRP,DRP %,CT,CC,CC %,HERO,MTF,MTF/REC,THREAT %,YPTOE,EPA/TGT,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP,XFP,FP/G,XFP/G,DIFF,FP/RR,XFP/RR,RecXFP
2025,30,Troy Franklin,DEN,WR,1,15,GB,20.930232558139537,40,49.2,9,90,4,40,6.67,0.44,8.5,34,26.6,60,50.8,15,15,4,100,28,7,10,2.5,1,0.47,50,1,1,1,3,0.333,158.3,3,50,1,25,4,100,1,33.3,0,0,1,1,100,0,1,0.25,44.4,7.43,1.804,44.4,55.6,0,0,16,8.9,16,8.95,7.05,1.78,0.99,8.9
2025,31,Troy Franklin,DEN,WR,1,16,JAX,32.55813953488372,30,63.1,14,82.4,3,17.6,4.21,0.21,14.33,43,20.1,59,48.4,19.67,19.67,3,100,16,5.33,9,3,0,0.07,0,0,0,0,1,0.071,118.8,3,18.8,1,33.3,3,100,1,33.3,0,0,0,0,0,0,0,0,21.4,10.9,0.933,78.6,21.4,0,0,8.9,7.5,8.9,7.55,1.35,0.64,0.54,7.5
2025,32,CeeDee Lamb,DAL,WR,1,14,DET,20.588235294117645,25,47.4,7,43.8,3,18.8,8.29,0.43,11.67,35,25,58,33,19.33,19.33,3,100,23,7.67,19,6.33,0,0.01,0,0,0,0,2,0.286,118.8,2,18.2,0,0,3,100,1,33.3,0,0,2,2,100,0,1,0.33,42.9,11.27,1.815,28.6,71.4,0,0,8.8,5.1,8.8,5.1,3.7,1.26,0.73,5.1
2025,33,Puka Nacua,LA,WR,1,16,SEA,10.416666666666668,4.761904761904762,80.7,5,83.3,1,16.7,11.6,0.2,18,18,18.9,58,49.2,58,58,1,100,40,40,34,34,0,0.04,0,0,0,0,1,0.2,118.8,1,20,0,0,1,100,0,100,0,0,0,0,0,0,1,1,20,47.1,5.374,60,40,0,0,6.8,3.5,6.8,3.47,3.33,1.36,0.69,3.5
2025,34,Isaiah Likely,BLT,TE,1,13,CIN,26.666666666666668,30.76923076923077,50.9,8,57.1,4,28.6,7.13,0.5,7.75,31,27,57,52.3,14.25,19,3,75,36,12,2,0.67,0,0.01,0,0,0,0,0,0,116.7,1,11.1,0,0,3,75,0,33.3,0,0,0,0,0,0,1,0.33,44.4,6.72,-0.799,12.5,87.5,0,0,7.7,5.9,7.7,5.89,1.81,1.09,0.74,5.9
2025,35,Xavier Smith,LA,WR,1,16,SEA,12.5,20,23.9,3,50,2,33.3,19,0.67,25,50,52.6,57,48.3,28.5,28.5,2,100,7,3.5,3,1.5,0,0.47,0,0,0,0,2,0.667,118.8,1,20,0,0,2,100,1,50,0,0,0,0,0,0,0,0,66.7,17.24,3.06,0,100,0,0,7.7,9.9,7.7,9.88,-2.18,2.57,3.29,9.9
2025,36,Amon-Ra St. Brown,DET,WR,1,14,DAL,23.333333333333332,21.052631578947366,91.2,14,87.5,8,50,3.93,0.57,6.63,53,61.6,55,48.2,6.88,11,5,62.5,31,6.2,14,2.8,0,0.03,0,0,0,0,1,0.071,82.8,8,50,0,0,6,75,0,20,1,12.5,0,0,0,0,0,0,50,-0.07,-0.085,7.1,92.9,0,0,10.5,11.5,10.5,11.45,-0.95,0.75,0.82,11.5
2025,37,Chimere Dike,TEN,WR,1,17,NO,26.53061224489796,22.727272727272727,77.8,13,81.3,5,31.3,4.23,0.38,12.6,63,32.8,55,48.7,11,13.75,4,80,7,1.75,3,0.75,0,0.23,0,0,0,0,2,0.154,112.5,5,41.7,0,0,4,80,1,25,0,0,1,1,100,0,0,0,38.5,2.49,0.103,23.1,76.9,0,0,9.5,9.4,9.5,9.44,0.06,0.73,0.73,9.4
2025,38,Darren Waller,MIA,TE,1,15,PIT,23.809523809523807,62.5,52.1,5,83.3,5,83.3,10.8,1,8.8,44,112.8,54,79.4,10.8,10.8,5,100,19,3.8,0,0,1,0.56,100,1,1,1,4,0.8,151.3,3,100,1,20,5,100,1,25,0,0,2,2,100,0,0,0,100,2.57,1.232,0,100,0,0,16.4,10.6,16.4,10.64,5.76,3.28,2.13,10.6
2025,39,Amon-Ra St. Brown,DET,WR,1,18,CHI,20,26.31578947368421,94.4,12,100,10,83.3,4.5,0.83,9.8,98,84.5,54,59.3,5.4,7.71,7,70,12,1.71,-2,-0.29,0,0.08,0,2,1,0,4,0.333,43.3,8,88.9,0,0,8,80,2,0,0,0,1,0,0,0,0,0,83.3,-1.82,0.051,8.3,91.7,0,0,12.4,14.8,12.4,14.79,-2.39,1.03,1.23,14.8
