,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Splits,Overall,Overall,Overall,Overall,Man,Man,Man,Man,Zone,Zone,Zone,Zone,Single-High,Single-High,Single-High,Single-High,Two-High,Two-High,Two-High,Two-High
Season,Rank,Name,Team,POS,G,WEEK,OPP,RTE %,TGT %,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR,RTE,TPRR,YPRR,FP/RR
2024,46,Courtland Sutton,DEN,WR,1,1,SEA,22.52747252747253,26.08695652173913,41,0.29,0.93,0.19,9,0.22,1.11,0.22,29,0.34,0.97,0.2,22,0.18,0.64,0.15,19,0.42,1.26,0.23
2024,47,Ja'Marr Chase,CIN,WR,1,3,WAS,19.339622641509436,17.073170731707318,41,0.17,2.88,0.73,13,0.08,2.38,0.78,25,0.2,3.2,0.72,10,0.2,7.2,2.12,31,0.16,1.48,0.28
2024,48,Ja'Marr Chase,CIN,WR,1,5,BLT,19.339622641509436,29.268292682926827,41,0.29,4.71,1.01,12,0.42,3.33,0.67,27,0.26,5.67,1.23,22,0.5,8.36,1.79,19,0.05,0.47,0.1
2024,49,Jordan Whittington,LA,WR,1,5,GB,44.086021505376344,43.47826086956522,41,0.24,2.17,0.39,15,0.27,3.53,0.55,26,0.23,1.38,0.29,28,0.32,2.86,0.5,13,0.08,0.69,0.15
2024,50,Mike Evans,TB,WR,1,4,PHI,23.668639053254438,33.33333333333333,40,0.33,2.35,0.58,17,0.29,1.24,0.65,21,0.38,3.48,0.59,18,0.33,2.89,0.51,22,0.32,1.91,0.65
2024,51,Stefon Diggs,HST,WR,1,3,MIN,20,25.53191489361702,40,0.3,2.35,0.48,14,0.21,0.71,0.21,24,0.38,3.5,0.68,8,0.38,3.88,0.76,32,0.28,1.97,0.42
2024,52,Tyler Lockett,SEA,WR,1,5,NYG,19.41747572815534,16.666666666666664,40,0.15,1.88,0.29,11,0.18,0.55,0.15,27,0.15,2.56,0.37,26,0.19,2.88,0.44,14,0.07,0,0
2024,53,Dallas Goedert,PHI,TE,1,3,NO,33.057851239669425,37.93103448275862,40,0.28,4.25,0.68,15,0.4,5.6,0.89,24,0.21,3.58,0.57,16,0.38,8.19,1.13,24,0.21,1.63,0.37
2024,54,DK Metcalf,SEA,WR,1,6,SF,16.94915254237288,22.22222222222222,40,0.3,1.2,0.2,7,0.29,1.14,0.26,28,0.29,1.43,0.21,17,0.24,1.06,0.22,23,0.35,1.3,0.17
2024,55,Noah Fant,SEA,TE,1,6,SF,22.598870056497177,25,40,0.15,1.57,0.31,7,0,0,0,28,0.21,2.25,0.44,14,0.14,1.71,0.31,26,0.15,1.5,0.3
2024,56,Colby Parkinson,LA,TE,1,1,DET,26.666666666666668,16.129032258064516,40,0.13,1.18,0.22,16,0.06,0.94,0.16,21,0.19,1.52,0.3,23,0.09,1.52,0.24,17,0.18,0.71,0.19
2024,57,Brandon Aiyuk,SF,WR,1,2,MIN,21.164021164021165,13.157894736842104,40,0.13,1.07,0.21,10,0.1,0,0,29,0.14,1.48,0.29,12,0.08,0.17,0.1,28,0.14,1.46,0.25
2024,58,Tutu Atwell,LA,WR,1,5,GB,39.21568627450981,41.66666666666667,40,0.25,1.45,0.3,15,0.2,0,0,25,0.28,2.32,0.47,28,0.29,1.54,0.3,12,0.17,1.25,0.29
2024,59,Ja'Marr Chase,CIN,WR,1,2,KC,18.867924528301888,12.195121951219512,40,0.13,0.88,0.19,15,0.07,0.27,0.09,18,0.22,1.72,0.34,15,0.2,0.67,0.2,25,0.08,1,0.18
2024,60,Rashid Shaheed,NO,WR,1,6,TB,25,15,40,0.15,0.28,0.05,10,0.2,1.1,0.21,28,0.14,0,0,21,0.24,0.52,0.1,19,0.05,0,0
