,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2026,69,Mike Washington,LV,RB,1,2,LAC,100,3,7,2.33,0,0,100,33.3,0,0,0,0,0,0,0,0,0,1,14.3,0,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,3.8,0.7,0.7
2026,70,Samaje Perine,CIN,RB,1,2,HST,100,2,6,3,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2,1,16,7.7,16,16,100,0,0,0,0,0,2.5,3.2,3.2
2026,71,Justice Hill,BLT,RB,1,2,NO,100,2,6,3,0,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.5,2,12,5.1,6,6,100,0,0,0,0,0,4,3.8,3.8
2026,72,Najee Harris,NYG,RB,1,2,LA,100,4,6,1.5,0,0,75,50,0,0,0,0,0,1,100,2,66.7,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.6,0.6
2026,73,Raheim Sanders,CLV,RB,1,2,TB,100,2,4,2,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,1,7,2.9,7,7,100,0,0,0,0,0,2.5,2.1,2.1
2026,74,Jaleel McLaughlin,CLV,RB,1,2,TB,100,1,3,3,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,0,0,0,0,0,0,0,0,0,0,0,2,0.3,0.3
2026,75,CJ Donaldson,NO,RB,1,2,BLT,100,1,2,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.2
2026,76,Tyler Badie,DEN,RB,1,2,JAX,100,1,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.5,2,28,9.7,14,14,100,0,0,0,0,0,3.5,4.9,4.9
2026,77,Corey Kiner,NE,RB,1,2,PIT,100,2,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026,78,Seth McGowan,IND,RB,1,2,KC,100,2,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026,79,AJ Dillon,CAR,RB,1,2,ATL,100,3,-3,-1,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-0.3,-0.3
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-23 21:55 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
