,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,FP,FP,FP,FP,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,DB %,SNAP %,DB,ATT,CMP,CMP %,YDS,YPA,TD,XTD,INT,1D,RATE,ANY/A,SUCC %,SACK,SACK %,SK YDS,SCR,SCR YDS,SCR TD,ATT,YDS,TD,CPOE,ADJ CMP %,ADOT,AYDS,DEEP %,EZATT,YAC %,1ST RD %,ACC %,CATCH %,OFF TGT %,HERO %,TWT %,DROP %,DROP YDS,TTT,TTP,TTSK,TTSC,QBSK,PRESS %,QK PRES %,P2S %,PRES O/E,RB TGT %,WR TGT %,TE TGT %,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %,CKD %,RPO %,TA,BPA,SPK,EPA,EPA/DB,EPA/P,FP/DB,FP/OPP,FP,XFP,FP/G,XFP/G,DIFF,PASS FP,RUSH FP
2026,29,Jameis Winston,NYG,QB,1,2,LA,100,87.3,29,27,11,40.7,111,4.11,0,0.31,1,6,37.7,2.24,29.6,2,6.9,1,0,0,0,2,1,0,-19.9,50,11.19,291,18.5,1,45.9,85.2,55.6,63,33.3,7.4,3.7,7.4,44,2.63,2.51,3.9,0,2,41.4,24.1,16.7,8.4,15.4,46.2,38.5,34.6,42.3,7.7,15.4,7.4,0,0,0,0,-16.5,-0.569,-0.521,0.12,0.11,3.5,9.9,3.54,9.9,-6.36,3.4,0.1
2026,30,Marcus Mariota,WAS,QB,1,2,DAL,100,43.3,17,16,11,68.8,111,6.94,1,1.21,0,7,109.1,8.19,62.5,0,0,0,1,3,0,1,3,0,1.7,68.8,11.63,186,25,2,35.1,50,68.8,75,25,12.5,6.3,0,0,2.96,2.93,0,6.2,0,35.3,5.9,0,-3.5,12.5,87.5,0,50,37.5,0,12.5,12.5,0,0,0,0,2,0.118,0.118,0.51,0.51,8.7,10.2,8.74,10.23,-1.49,8.4,0.3
2026,31,Jayden Daniels,WAS,QB,1,2,DAL,100,56.7,23,17,11,64.7,96,5.65,1,1.26,0,4,99.1,6.82,47.1,0,0,0,6,69,0,7,69,0,-2.4,68.8,10.81,173,11.8,3,49,70.6,76.5,76.5,17.6,0,0,0,0,2.68,2.62,0,5.33,0,43.5,8.7,0,16.6,25,62.5,12.5,43.8,18.8,12.5,25,17.6,0,1,0,0,5.7,0.249,0.148,0.64,0.61,14.7,15.3,14.74,15.27,-0.53,7.8,6.9
2026,32,Jacoby Brissett,ARZ,QB,1,2,SEA,100,100,31,28,17,60.7,95,3.39,1,0.86,1,4,63.8,1.87,39.3,2,6.5,14,1,7,0,1,7,0,1.5,81.8,4.42,106,3.6,2,60,60.7,50,64.3,14.3,0,3.6,3.6,4,1.96,1.96,2.4,2.3,1,22.6,16.1,28.6,1,20.8,37.5,41.7,29.2,54.2,0,16.7,21.4,3.2,3,0,0,-8.9,-0.286,-0.286,0.24,0.24,7.5,10,7.5,9.99,-2.49,6.8,0.7
2026,33,Cooper Rush,ATL,QB,1,2,CAR,100,58.2,20,17,10,58.8,86,5.06,0,0.04,2,6,32.6,-0.39,35.3,1,5,3,2,20,0,2,20,0,-20.6,58.8,5.29,90,5.9,0,69.8,88.2,58.8,64.7,35.3,0,11.8,0,0,1.99,2.5,3,4.9,0,25,15,20,4.3,23.5,58.8,17.6,41.2,35.3,5.9,17.6,0,0,0,0,0,-15.2,-0.759,-0.759,0.17,0.17,2.4,4.8,2.44,4.83,-2.39,1.4,1
2026,34,Jack Strand,ATL,QB,1,2,CAR,100,41.8,19,15,8,53.3,59,3.93,0,0.07,1,4,35.1,0.06,26.7,2,10.5,13,2,16,0,2,16,0,-20.6,64.3,2.64,37,0,0,89.8,73.3,53.3,66.7,26.7,0,0,6.7,13,2.35,2.68,2.25,5,0,31.6,10.5,33.3,7.4,14.3,50,35.7,42.9,14.3,28.6,14.3,6.7,0,1,0,0,-11.4,-0.599,-0.599,0.16,0.16,2,4.8,1.96,4.78,-2.82,1.4,0.6
2026,35,Tyson Bagent,CHI,QB,1,2,MIN,100,14.3,10,9,5,55.6,54,6,0,0.7,0,2,73.4,4.5,44.4,1,10,9,0,0,0,0,0,0,1.2,71.4,9.71,68,11.1,2,18.5,66.7,22.2,66.7,11.1,0,11.1,0,0,2.7,2.75,3.1,0,0,20,0,50,-13.3,14.3,71.4,14.3,42.9,42.9,0,14.3,11.1,0,1,0,1,-2.8,-0.284,-0.284,0.22,0.24,2.2,4.8,2.16,4.84,-2.68,2.2,0
2026,36,Jaxson Dart,NYG,QB,1,2,LA,100,12.7,5,5,3,60,20,4,0,0.09,0,2,68.8,4,40,0,0,0,0,0,0,0,0,0,-12.1,60,9.2,46,20,0,10,80,40,80,20,0,20,0,0,2.38,2.5,0,0,0,60,20,0,28.9,20,20,60,20,60,0,20,20,0,0,0,0,-1.1,-0.223,-0.223,0.16,0.16,0.8,2.4,0.8,2.36,-1.56,0.8,0
2026,37,Mason Rudolph,PIT,QB,1,2,NE,100,4.5,2,1,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,1,3,0,1,3,0,-78.5,0,6,6,0,0,0,100,100,100,0,0,0,0,0,1.7,2.9,0,6.7,0,50,0,0,40.3,0,100,0,100,0,0,0,0,0,0,0,0,-1.1,-0.557,-0.557,0.15,0.15,0.3,1,0.3,1.02,-0.72,0,0.3
Exported from Data Suite 2.0 by michaelgingrave (user 380) on 2026-09-23 21:55 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
