,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2022,206,Kenneth Gainwell,PHI,RB,1,9,HST,26.666666666666668,40,4,30.8,0,22,5.5,1,0.89,0,2,0,0,0,50,25,75,0,2.7,2.75,0,2.75,50,2,0.5,0.665,2.7,1,25,2,0,2,100,3,75,20,1,6.67,66.7,12.8,12,12.8,11.97,0.83
2022,207,James Cook,BUF,RB,1,13,NE,28.57142857142857,48.6,8,72.7,0,22,2.75,0,0.21,0,0,0,0,0,0,0,12.5,62.5,-15.4,1,37.5,1.75,63.6,2,0.25,-0.303,-2.4,5,62.5,10,0,2,0,3,37.5,12,0,4,33.3,8.2,10.1,8.2,10.08,-1.88
2022,208,Brian Robinson,WAS,RB,1,17,CLV,14.285714285714285,29,5,71.4,0,22,4.4,0,0.03,0,1,0,0,0,0,0,60,20,-0.1,1.8,40,2.6,59.1,0,0,0.081,0.4,4,80,18,0,4.5,75,1,20,4,0,4,0,2.2,2.4,2.2,2.37,-0.17
2022,209,Raheem Mostert,MIA,RB,1,18,NYJ,4,31.8,1,25,0,21,21,0,0,0,1,100,21,100,0,0,100,0,15.8,13,0,8,38.1,1,1,1.972,2,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5,2.1,0.54,1.56
2022,210,Raheem Mostert,MIA,RB,1,9,CHI,8,42.9,2,50,0,21,10.5,0,0.01,0,1,50,14,66.7,0,0,100,0,11.1,6,0,4.5,42.9,1,0.5,0.526,1.1,1,50,14,0,14,100,1,50,7,0,7,100,2.1,1.1,2.1,1.06,1.04
2022,211,Austin Ekeler,LAC,RB,1,17,LA,7.142857142857142,45.5,4,30.8,0,21,5.25,0,0.01,0,1,0,0,0,0,0,75,25,2.7,3.25,25,2,38.1,0,0,0.292,1.2,2,50,16,0,8,100,2,50,5,0,2.5,50,4.9,5.5,4.9,5.5,-0.6
2022,212,D'Onta Foreman,CAR,RB,1,16,DET,3.8461538461538463,11.8,1,12.5,0,21,21,0,0,0,1,100,21,100,0,0,100,0,16.1,2,0,19,90.5,1,1,1.244,1.2,1,100,21,0,21,100,0,0,0,0,0,0,2.1,0.5,2.1,0.5,1.6
2022,213,Nick Chubb,CLV,RB,1,11,BUF,5.555555555555555,43.8,3,50,0,21,7,0,0.01,0,1,33.3,12,57.1,0,0,66.7,33.3,5.3,1.33,33.3,5.67,81,0,0,0.61,1.8,0,0,0,0,0,0,3,100,21,0,7,66.7,7.2,4.9,7.2,4.89,2.31
2022,214,Justice Hill,BLT,RB,1,18,CIN,16.666666666666664,22.2,2,100,0,21,10.5,0,0,0,1,50,12,57.1,0,0,100,0,6.1,5.5,0,5,47.6,1,0.5,0.015,0,1,50,9,0,9,100,1,50,12,0,12,100,2.1,1.5,2.1,1.5,0.6
2022,215,David Montgomery,CHI,RB,1,13,GB,8.695652173913043,66.7,4,50,0,21,5.25,0,0.1,0,1,0,0,0,0,0,50,50,0.1,1.75,50,3.5,66.7,0,0,-0.179,-0.7,1,25,8,0,8,100,3,75,13,0,4.33,33.3,3.8,6.2,3.8,6.22,-2.42
2022,216,A.J. Dillon,GB,RB,1,15,LA,14.705882352941178,42.1,5,38.5,0,21,4.2,1,0.53,0,2,0,0,0,0,20,80,20,-1.1,1.8,20,2.4,57.1,1,0.2,0.689,3.4,2,40,13,1,6.5,100,3,60,8,0,2.67,66.7,11.9,8.6,11.9,8.57,3.33
2022,217,Darrynton Evans,CHI,RB,1,13,GB,25,33.3,2,25,0,21,10.5,0,0.07,0,1,50,21,100,0,0,50,50,10.9,1.5,50,9,85.7,0,0,0.811,1.6,1,50,0,0,0,0,1,50,21,0,21,100,2.1,1.4,2.1,1.41,0.69
2022,218,Najee Harris,PIT,RB,1,4,NYJ,12.76595744680851,78.3,6,85.7,0,21,3.5,0,0.02,0,0,0,0,0,0,0,50,16.7,-9.2,1.33,16.7,2.17,61.9,0,0,-0.031,-0.2,2,33.3,9,0,4.5,50,4,66.7,12,0,3,50,2.1,3.2,2.1,3.17,-1.07
