,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Gain Rates,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Red Zone,Scrambles,Scrambles,Scrambles,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,FP,FP,FP
Season,Rank,Name,Team,POS,G,WEEK,OPP,ATT %,ATT,YDS,YPC,TD,FUM,1+ %,3+ %,5+ %,10+ %,15+ %,20+ %,30+ %,i5,i5 %,i10,i10 %,i20,i20 %,SCRM,SCRM YDS,SCRM TD,TGT,TGT %,REC,REC YDS,TM YDS %,YPR,YPT,CR %,REC TD,TM TD %,i10 TGT,i20 TGT,REC FUM,WO,FP,FP/G
2022,75,Dalvin Cook,MIN,RB,1,8,ARZ,7.575757575757576,20,111,5.55,1,0,75,65,40,20,10,5,5,1,100,2,66.7,3,60,0,0,0,6,16.7,5,30,12.9,6,5,83.3,0,0,2,2,0,22.9,25.1,25.1
2022,76,Najee Harris,PIT,RB,1,17,BLT,8.088235294117647,22,111,5.05,0,0,95.5,81.8,59.1,9.1,9.1,0,0,0,0,2,66.7,5,55.6,0,0,0,3,11.1,2,12,7.1,6,4,66.7,1,100,2,2,0,21,20.3,20.3
2022,77,Aaron Jones,GB,RB,1,4,NE,7.511737089201878,16,110,6.88,0,0,93.8,81.3,56.3,31.3,12.5,6.3,0,0,0,0,0,1,25,0,0,0,4,11.4,3,5,2,1.67,1.25,75,0,0,0,0,0,14.8,14.5,14.5
2022,78,Saquon Barkley,NYG,RB,1,7,JAX,8.135593220338983,24,110,4.58,0,0,79.2,54.2,37.5,16.7,8.3,4.2,0,1,50,1,50,5,83.3,0,0,0,4,13.3,4,25,12.4,6.25,6.25,100,0,0,0,0,0,22,17.5,17.5
2022,79,Derrick Henry,TEN,RB,1,18,JAX,8.595988538681947,30,109,3.63,0,0,76.7,60,36.7,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4,1,19,10.6,19,19,100,0,0,0,0,0,16.5,13.8,13.8
2022,80,Josh Jacobs,LV,RB,1,11,DEN,7.0588235294117645,24,109,4.54,0,0,79.2,62.5,45.8,12.5,4.2,0,0,0,0,0,0,0,0,0,0,0,4,10.8,3,51,16.6,17,12.75,75,0,0,1,1,0,18.8,19,19
2022,81,Travis Etienne,JAX,RB,1,9,LV,12.727272727272727,28,109,3.89,2,0,78.6,53.6,39.3,10.7,7.1,0,0,2,100,4,100,7,87.5,0,0,0,2,6.5,2,17,7.2,8.5,8.5,100,0,0,0,0,0,22.6,26.6,26.6
2022,82,Kenneth Walker,SEA,RB,1,9,ARZ,11.403508771929824,26,109,4.19,2,0,84.6,69.2,30.8,11.5,3.8,0,0,3,100,3,100,9,100,0,0,0,4,11.8,3,20,7.3,6.67,5,75,0,0,0,0,0,26.2,27.9,27.9
2022,83,Christian McCaffrey,SF,RB,1,15,SEA,10.655737704918032,26,108,4.15,1,0,88.5,65.4,30.8,7.7,3.8,3.8,0,1,33.3,2,50,2,50,0,0,0,8,30.8,6,30,13.8,5,3.75,75,0,0,0,0,0,26.6,25.8,25.8
2022,84,Christian McCaffrey,CAR,RB,1,3,NO,10.245901639344263,25,108,4.32,0,0,88,60,36,8,4,0,0,0,0,0,0,0,0,0,0,0,4,16,2,7,4.1,3.5,1.75,50,0,0,0,1,0,19.3,13.5,13.5
2022,85,Jamaal Williams,DET,RB,1,4,SEA,7.251908396946565,19,108,5.68,2,0,84.2,63.2,31.6,5.3,5.3,5.3,5.3,4,100,4,100,4,100,0,0,0,3,7.5,1,1,0.3,1,0.33,33.3,0,0,0,0,0,17.2,23.9,23.9
2022,86,Travis Etienne,JAX,RB,1,17,HST,4.090909090909091,9,108,12,1,0,66.7,55.6,44.4,22.2,22.2,22.2,11.1,1,33.3,1,33.3,1,33.3,0,0,0,3,10.3,3,32,17.7,10.67,10.67,100,0,0,1,1,0,10.6,23,23
2022,87,Alvin Kamara,NO,RB,1,18,CAR,10.31390134529148,23,107,4.65,0,0,82.6,60.9,43.5,8.7,4.3,4.3,0,0,0,0,0,1,100,0,0,0,2,8,1,3,1.8,3,1.5,50,0,0,0,0,0,15.3,12,12
2022,88,Isiah Pacheco,KC,RB,1,11,LAC,8.823529411764707,15,107,7.13,0,0,86.7,80,53.3,13.3,13.3,6.7,0,0,0,1,100,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,10.7,10.7
2022,89,Kenneth Walker,SEA,RB,1,16,KC,11.403508771929824,26,107,4.12,0,0,76.9,57.7,34.6,11.5,7.7,7.7,0,0,0,0,0,2,100,0,0,0,2,5,2,-2,-0.9,-1,-1,100,0,0,0,0,0,17.6,12.5,12.5
