,Player Details,Player Details,Player Details,Player Details,Player Details,Splits,Splits,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Zone Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,Man/Gap Concept,FP,FP,FP,FP,FP
Season,Rank,Name,Team,POS,G,CONCEPT,ATT %,SNAP %,ATT,DCS %,SNEAK %,YDS,YPC,TD,XTD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,SUCC %,STUFF %,RYOE,YBC/ATT,HIT %,YACO/ATT,YACO %,MTF,MTF/A,EPA/A,EPA,ZONE ATT,ZONE ATT %,ZONE YDS,ZONE TD,ZONE YPC,ZONE SUCC %,MAN ATT,MAN ATT %,MAN YDS,MAN TD,MAN YPC,MAN SUCC %,FP,XFP,FP/G,XFP/G,DIFF
2026,35,Jeremiyah Love,ARZ,RB,1,Outside Zone,54.54545454545454,61.5,6,46.2,0,27,4.5,0,0.02,0,1,16.7,18,66.7,0,0,33.3,66.7,1.6,-0.33,66.7,4.83,107.4,1,0.17,-0.034,-0.2,6,100,27,0,4.5,33.3,0,0,0,0,0,0,2.7,2.6,2.7,2.63,0.07
2026,36,Travis Etienne,NO,RB,1,Draw,22.22222222222222,100,2,100,0,25,12.5,0,0.01,0,1,50,18,72,0,0,100,0,11.5,11,0,1.5,12,0,0,0.157,0.3,0,0,0,0,0,0,2,100,25,0,12.5,100,2.5,1.4,2.5,1.43,1.07
2026,37,Christian McCaffrey,SF,RB,1,Inside Zone,50,66.7,5,55.6,0,24,4.8,0,0.05,0,0,0,0,0,0,0,80,40,1.1,2.2,0,2.6,54.2,1,0.2,0.058,0.3,5,100,24,0,4.8,80,0,0,0,0,0,0,2.4,2.6,2.4,2.6,-0.2
2026,38,MarShawn Lloyd,GB,RB,1,Man/Duo,46.15384615384615,100,6,100,0,23,3.83,0,0.72,0,1,20,12,52.2,0,0,66.7,33.3,-14.2,2.33,50,1.5,39.1,0,0,-0.2,-1.2,0,0,0,0,0,0,6,100,23,0,3.83,66.7,2.3,8,2.3,8.02,-5.72
2026,39,Jonathan Taylor,IND,RB,1,Trap,10.526315789473683,100,2,100,0,22,11,0,0,0,2,100,22,100,0,0,100,0,12.3,7.5,0,3.5,31.8,0,0,1.011,2,0,0,0,0,0,0,2,100,22,0,11,100,2.2,1,2.2,0.97,1.23
2026,40,Javonte Williams,DAL,RB,1,Inside Zone,58.333333333333336,87.5,7,87.5,0,22,3.14,0,0.41,0,1,0,0,0,100,0,57.1,57.1,-1.4,0.71,42.9,2.43,77.3,0,0,0.064,0.4,7,100,22,0,3.14,57.1,0,0,0,0,0,0,2.2,4.8,2.2,4.78,-2.58
2026,41,James Cook,BUF,RB,1,Man/Duo,38.46153846153847,75,5,62.5,0,22,4.4,0,0.08,0,1,20,12,54.5,0,0,40,60,-0.2,3.6,40,0.8,18.2,2,0.4,-0.046,-0.2,0,0,0,0,0,0,5,100,22,0,4.4,40,2.2,2.7,2.2,2.71,-0.51
2026,42,Chris Brooks,GB,RB,1,Power,42.857142857142854,75,3,75,0,22,7.33,0,0.02,0,1,33.3,14,63.6,0,0,33.3,33.3,7.5,4,0,3.33,45.5,0,0,0.382,1.1,0,0,0,0,0,0,3,100,22,0,7.33,33.3,2.2,1.6,2.2,1.55,0.65
2026,43,Bucky Irving,TB,RB,1,Inside Zone,37.5,100,3,100,0,22,7.33,0,0,0,1,0,0,0,0,0,100,0,8.3,3,0,4.33,59.1,2,0.67,0.65,2,3,100,22,0,7.33,100,0,0,0,0,0,0,2.2,1.4,2.2,1.39,0.81
2026,44,Cam Skattebo,NYG,RB,1,Inside Zone,22.22222222222222,75,4,50,0,22,5.5,0,0.01,0,2,0,0,0,0,0,75,0,4.4,2.5,0,3,54.5,2,0.5,0.149,0.6,4,100,22,0,5.5,75,0,0,0,0,0,0,2.2,1.8,2.2,1.81,0.39
2026,45,AJ Dillon,CAR,RB,1,Man/Duo,80,66.7,4,66.7,0,21,5.25,0,0.01,0,1,25,11,52.4,0,0,75,25,7.8,2.25,25,3,57.1,1,0.25,-0.603,-2.4,0,0,0,0,0,0,4,100,21,0,5.25,75,2.1,1.4,2.1,1.35,0.75
2026,46,Tyler Allgeier,ARZ,RB,1,Outside Zone,41.17647058823529,53.8,7,53.8,0,21,3,0,0.29,0,1,14.3,11,52.4,0,0,28.6,71.4,-10.2,0.29,57.1,2.71,90.5,1,0.14,-0.238,-1.7,7,100,21,0,3,28.6,0,0,0,0,0,0,2.1,4.9,2.1,4.88,-2.78
2026,47,Brian Robinson,ATL,RB,1,Outside Zone,44.44444444444444,28.6,4,28.6,0,21,5.25,0,0.01,0,1,25,14,66.7,0,0,50,50,2.8,-0.25,75,5.5,104.8,1,0.25,0.029,0.1,4,100,21,0,5.25,50,0,0,0,0,0,0,2.1,1.9,2.1,1.88,0.22
2026,48,Samaje Perine,CIN,RB,1,Inside Zone,100,62.5,5,62.5,0,20,4,0,0.08,0,1,0,0,0,0,0,20,20,-3.6,1.8,0,2.2,55,0,0,-0.112,-0.6,5,100,20,0,4,20,0,0,0,0,0,0,2,2.9,2,2.85,-0.85
2026,49,Jahmyr Gibbs,DET,RB,1,Pull Lead,6.896551724137931,100,2,100,0,20,10,0,0.01,0,1,50,21,105,0,0,50,50,10.4,7.5,50,2.5,25,0,0,0.372,0.7,0,0,0,0,0,0,2,100,20,0,10,50,2,1,2,0.99,1.01
2026,50,J.K. Dobbins,DEN,RB,1,Man/Duo,25,66.7,2,66.7,0,19,9.5,0,0,0,1,50,17,89.5,0,0,50,50,10,-0.5,100,10,105.3,1,0.5,0.328,0.7,0,0,0,0,0,0,2,100,19,0,9.5,50,1.9,0.9,1.9,0.91,0.99
2026,51,Travis Etienne,NO,RB,1,Inside Zone,33.33333333333333,33.3,3,33.3,0,19,6.33,0,0,0,1,33.3,14,73.7,0,0,33.3,33.3,5.5,3.67,0,2.67,42.1,1,0.33,0.007,0,3,100,19,0,6.33,33.3,0,0,0,0,0,0,1.9,1.4,1.9,1.36,0.54
2026,52,Jaylen Warren,PIT,RB,1,Power,20,66.7,2,66.7,0,19,9.5,0,0.01,0,1,50,17,89.5,0,0,50,50,8.7,4,50,5.5,57.9,1,0.5,0.188,0.4,0,0,0,0,0,0,2,100,19,0,9.5,50,1.9,1.1,1.9,1.07,0.83
2026,53,Tyler Allgeier,ARZ,RB,1,Man/Duo,29.411764705882355,83.3,5,83.3,0,19,3.8,0,0.1,0,0,0,0,0,0,0,20,20,-0.9,1.2,20,2.6,68.4,1,0.2,-0.213,-1.1,0,0,0,0,0,0,5,100,19,0,3.8,20,1.9,2.6,1.9,2.6,-0.7
