"Player Details","","","","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"278","Jerome Ford","CLV","RB","1","2023","1","17","NYJ","12","64","64.0","5.33","0","0","4","8.3","16","25.0","0.0","","58.3","41.7","3","0.25","40","3.33","62.5","2.00","3","25.0","4","0","1.33","33.3","9","75.0","60","0","6.67","66.7","26.1","26.1","11.8","11.8"
"279","Austin Ekeler","LAC","RB","1","2023","1","11","GB","10","64","64.0","6.40","0","1","2","10.0","37","57.8","100.0","","30.0","60.0","1","0.10","59","5.90","92.2","0.50","5","50.0","45","0","9.00","20.0","5","50.0","19","0","3.80","40.0","8.0","8.0","11.8","11.8"
"280","Tyler Allgeier","ATL","RB","1","2023","1","12","NO","10","64","64.0","6.40","0","0","4","","0","","0.0","","70.0","30.0","1","0.10","33","3.30","51.6","3.10","10","100.0","64","0","6.40","70.0","0","","0","0","","","6.4","6.4","4.5","4.5"
"281","Nick Chubb","CLV","RB","1","2023","1","2","PIT","10","64","64.0","6.40","0","0","1","10.0","20","31.3","0.0","","50.0","40.0","6","0.60","55","5.50","85.9","0.90","4","40.0","31","0","7.75","50.0","6","60.0","33","0","5.50","50.0","6.4","6.4","5.3","5.3"
"282","Keaton Mitchell","BLT","RB","1","2023","1","12","LAC","9","64","64.0","7.11","0","0","4","11.1","29","45.3","0.0","","77.8","22.2","1","0.11","49","5.44","76.6","1.67","8","88.9","55","0","6.88","75.0","1","11.1","9","0","9.00","100.0","10.9","10.9","6.2","6.2"
"283","Kenneth Walker","SEA","RB","1","2023","1","1","LA","12","64","64.0","5.33","0","0","3","8.3","15","23.4","0.0","","75.0","25.0","5","0.42","34","2.83","53.1","2.50","6","50.0","32","0","5.33","83.3","5","41.7","27","0","5.40","60.0","10.7","10.7","12.3","12.3"
"284","Gus Edwards","BLT","RB","1","2023","1","7","DET","14","64","64.0","4.57","1","0","3","7.1","20","31.3","100.0","7.1","64.3","35.7","4","0.29","42","3.00","65.6","1.57","8","57.1","42","0","5.25","62.5","6","42.9","22","1","3.67","66.7","21.4","21.4","10.4","10.4"
"285","Derrick Henry","TEN","RB","1","2023","1","1","NO","15","63","63.0","4.20","0","0","4","6.7","18","28.6","0.0","","46.7","40.0","5","0.33","44","2.93","69.8","1.27","11","73.3","44","0","4.00","36.4","4","26.7","19","0","4.75","75.0","13.9","13.9","12.0","12.0"
"286","Najee Harris","PIT","RB","1","2023","1","13","ARZ","16","63","63.0","3.94","0","0","2","","0","","50.0","","37.5","62.5","3","0.19","31","1.94","49.2","2.00","14","87.5","53","0","3.79","35.7","2","12.5","10","0","5.00","50.0","9.7","9.7","16.3","16.3"
"287","Kenneth Walker","SEA","RB","1","2023","1","10","WAS","19","63","63.0","3.32","0","0","2","","0","","100.0","","42.1","42.1","1","0.05","33","1.74","52.4","1.58","10","52.6","32","0","3.20","40.0","9","47.4","31","0","3.44","44.4","19.7","19.7","15.1","15.1"
"288","Saquon Barkley","NYG","RB","1","2023","1","2","ARZ","17","63","63.0","3.71","1","0","5","5.9","16","25.4","100.0","5.9","47.1","47.1","7","0.41","54","3.18","85.7","0.53","11","64.7","47","1","4.27","63.6","6","35.3","16","0","2.67","16.7","27.2","27.2","23.2","23.2"
"289","Devin Singletary","HST","RB","1","2023","1","18","IND","24","63","63.0","2.63","1","0","3","","0","","100.0","4.2","37.5","45.8","1","0.04","38","1.58","60.3","1.04","6","25.0","14","0","2.33","16.7","18","75.0","49","1","2.72","44.4","13.5","13.5","16.8","16.8"
"290","Taysom Hill","NO","QB","1","2023","1","8","IND","9","63","63.0","7.00","2","0","5","11.1","20","31.7","50.0","22.2","88.9","22.2","2","0.22","30","3.33","47.6","2.78","0","","0","0","","","8","88.9","51","2","6.38","87.5","22.5","22.5","11.3","11.3"
"291","Brian Robinson","WAS","RB","1","2023","1","9","NE","18","63","63.0","3.50","1","1","4","","0","","0.0","5.6","50.0","44.4","0","","33","1.83","52.4","1.67","13","72.2","45","1","3.46","46.2","5","27.8","18","0","3.60","60.0","12.7","12.7","11.8","11.8"
"292","Kenneth Gainwell","PHI","RB","1","2023","1","18","NYG","7","62","62.0","8.86","0","0","3","14.3","32","51.6","0.0","","57.1","28.6","2","0.29","34","4.86","54.8","4.00","2","28.6","13","0","6.50","","5","71.4","49","0","9.80","80.0","6.2","6.2","5.0","5.0"
"293","Josh Jacobs","LV","RB","1","2023","1","3","PIT","17","62","62.0","3.65","0","0","3","","0","","100.0","","58.8","41.2","3","0.18","45","2.65","72.6","1.00","5","29.4","10","0","2.00","40.0","12","70.6","52","0","4.33","66.7","11.0","11.0","17.4","17.4"
"294","Alvin Kamara","NO","RB","1","2023","1","7","JAX","17","62","62.0","3.65","0","0","4","11.8","32","51.6","75.0","","35.3","64.7","2","0.12","25","1.47","40.3","2.18","8","47.1","18","0","2.25","37.5","8","47.1","44","0","5.50","37.5","29.3","29.3","36.3","36.3"
"295","James Conner","ARZ","RB","1","2023","1","11","HST","14","62","62.0","4.43","0","0","4","","0","","0.0","","35.7","50.0","3","0.21","40","2.86","64.5","1.57","3","21.4","10","0","3.33","33.3","9","64.3","51","0","5.67","44.4","8.3","8.3","11.4","11.4"
"296","Bijan Robinson","ATL","RB","1","2023","1","8","TEN","11","62","62.0","5.64","1","0","2","9.1","25","40.3","0.0","9.1","54.5","45.5","3","0.27","42","3.82","67.7","1.82","8","72.7","41","0","5.13","37.5","3","27.3","21","1","7.00","100.0","12.2","12.2","12.1","12.1"
"297","James Conner","ARZ","RB","1","2023","1","1","WAS","14","62","62.0","4.43","0","0","3","","0","","0.0","","50.0","28.6","0","","40","2.86","64.5","1.57","4","28.6","17","0","4.25","50.0","9","64.3","40","0","4.44","44.4","12.0","12.0","15.2","15.2"
"298","Kenneth Walker","SEA","RB","1","2023","1","6","CIN","19","62","62.0","3.26","1","0","4","5.3","21","33.9","100.0","5.3","42.1","57.9","7","0.37","59","3.11","95.2","0.16","9","47.4","53","0","5.89","66.7","10","52.6","9","1","0.90","20.0","17.9","17.9","19.7","19.7"
"299","Isiah Pacheco","KC","RB","1","2023","1","3","CHI","15","62","62.0","4.13","1","0","5","6.7","18","29.0","75.0","6.7","53.3","40.0","9","0.60","41","2.73","66.1","1.40","7","46.7","28","0","4.00","57.1","8","53.3","34","1","4.25","50.0","15.8","15.8","22.7","22.7"
"300","D'Andre Swift","PHI","RB","1","2023","1","7","MIA","15","62","62.0","4.13","0","0","5","6.7","22","35.5","0.0","","46.7","46.7","0","","38","2.53","61.3","1.60","10","66.7","31","0","3.10","50.0","5","33.3","31","0","6.20","40.0","10.5","10.5","13.4","13.4"
"301","Gus Edwards","BLT","RB","1","2023","1","11","CIN","12","62","62.0","5.17","2","0","6","8.3","26","41.9","100.0","16.7","66.7","33.3","1","0.08","34","2.83","54.8","2.33","3","25.0","34","0","11.33","66.7","9","75.0","28","2","3.11","66.7","21.0","21.0","14.9","14.9"
"302","Isiah Pacheco","KC","RB","1","2023","1","6","DEN","16","62","62.0","3.88","0","0","4","6.3","15","24.2","0.0","","56.3","43.8","0","","35","2.19","56.5","1.69","8","50.0","33","0","4.13","62.5","8","50.0","29","0","3.63","50.0","15.8","15.8","18.0","18.0"
"303","Gus Edwards","BLT","RB","1","2023","1","2","CIN","10","62","62.0","6.20","1","0","6","20.0","37","59.7","50.0","10.0","70.0","30.0","2","0.20","31","3.10","50.0","3.10","4","40.0","27","0","6.75","75.0","6","60.0","35","1","5.83","66.7","12.2","12.2","7.1","7.1"
"304","Lamar Jackson","BLT","QB","1","2023","1","6","TEN","13","62","62.0","4.77","0","0","5","","0","","50.0","","69.2","25.0","3","0.23","14","1.08","22.6","2.15","2","15.4","23","0","11.50","100.0","4","30.8","15","0","3.75","75.0","18.1","18.1","14.4","14.4"
"305","Michael Carter","ARZ","RB","1","2023","1","17","PHI","7","61","61.0","8.71","0","0","3","42.9","55","90.2","25.0","","42.9","57.1","1","0.14","17","2.43","27.9","6.29","4","57.1","6","0","1.50","","3","42.9","55","0","18.33","100.0","13.7","13.7","6.7","6.7"
"306","Darrell Henderson","LA","RB","1","2023","1","7","PIT","18","61","61.0","3.39","1","0","3","5.6","16","26.2","100.0","5.6","38.9","55.6","5","0.28","43","2.39","70.5","1.00","5","27.8","4","0","0.80","","13","72.2","57","1","4.38","53.8","13.6","13.6","15.9","15.9"
"307","Tony Pollard","DAL","RB","1","2023","1","11","CAR","12","61","61.0","5.08","1","0","3","16.7","43","70.5","0.0","8.3","58.3","41.7","5","0.42","39","3.25","63.9","1.83","9","75.0","42","1","4.67","55.6","3","25.0","19","0","6.33","66.7","18.0","18.0","14.0","14.0"
"308","A.J. Dillon","GB","RB","1","2023","1","7","DEN","15","61","61.0","4.07","0","0","1","6.7","15","24.6","0.0","","40.0","40.0","5","0.33","57","3.80","93.4","0.27","7","46.7","31","0","4.43","71.4","8","53.3","30","0","3.75","12.5","11.5","11.5","9.8","9.8"
"309","Chase Brown","CIN","RB","1","2023","1","13","JAX","9","61","61.0","6.78","0","0","2","22.2","46","75.4","0.0","","33.3","55.6","4","0.44","25","2.78","41.0","4.00","6","66.7","45","0","7.50","33.3","3","33.3","16","0","5.33","33.3","6.1","6.1","4.5","4.5"
"310","D'Andre Swift","PHI","RB","1","2023","1","17","ARZ","13","61","61.0","4.69","0","0","3","7.7","16","26.2","0.0","","61.5","38.5","1","0.08","29","2.23","47.5","2.46","13","100.0","61","0","4.69","61.5","0","","0","0","","","7.6","7.6","8.1","8.1"
"311","Josh Jacobs","LV","RB","1","2023","1","8","DET","15","61","61.0","4.07","1","0","3","","0","","100.0","6.7","80.0","20.0","2","0.13","32","2.13","52.5","1.93","12","80.0","49","1","4.08","75.0","3","20.0","12","0","4.00","100.0","16.8","16.8","14.1","14.1"
"312","Chuba Hubbard","CAR","RB","1","2023","1","1","ATL","9","60","60.0","6.67","0","0","6","11.1","21","35.0","0.0","","77.8","22.2","6","0.67","38","4.22","63.3","2.44","2","22.2","33","0","16.50","100.0","7","77.8","27","0","3.86","71.4","8.9","8.9","8.8","8.8"
"313","Lamar Jackson","BLT","QB","1","2023","1","9","SEA","10","60","60.0","6.00","0","1","5","10.0","23","38.3","0.0","","60.0","40.0","1","0.10","19","1.90","31.7","2.20","2","20.0","22","0","11.00","100.0","4","40.0","6","0","1.50","50.0","12.5","12.5","6.1","6.1"
"314","Jahmyr Gibbs","DET","RB","1","2023","1","13","NO","8","60","60.0","7.50","0","0","1","12.5","36","60.0","0.0","","50.0","37.5","3","0.38","47","5.88","78.3","1.63","5","62.5","47","0","9.40","40.0","2","25.0","9","0","4.50","50.0","6.4","6.4","7.5","7.5"
"315","Zach Charbonnet","SEA","RB","1","2023","1","13","DAL","19","60","60.0","3.16","1","0","2","","0","","50.0","5.3","36.8","57.9","0","","48","2.53","80.0","0.63","9","47.4","19","0","2.11","","10","52.6","41","1","4.10","70.0","16.9","16.9","17.1","17.1"
"316","Brian Robinson","WAS","RB","1","2023","1","8","PHI","10","59","59.0","5.90","0","0","3","10.0","29","49.2","0.0","","50.0","40.0","1","0.10","30","3.00","50.8","2.90","4","40.0","8","0","2.00","25.0","6","60.0","51","0","8.50","66.7","9.9","9.9","8.4","8.4"
"317","Justin Fields","CHI","QB","1","2023","1","12","MIN","12","59","59.0","4.92","0","1","4","","0","","0.0","","41.7","11.1","1","0.08","17","1.42","28.8","2.33","2","16.7","21","0","10.50","100.0","3","25.0","23","0","7.67","66.7","12.6","12.6","4.4","4.4"
"318","Trevor Lawrence","JAX","QB","1","2023","1","7","NO","8","59","59.0","7.38","0","0","3","25.0","49","83.1","0.0","","50.0","20.0","0","","7","0.88","11.9","-0.50","0","","0","0","","","0","","0","0","","","18.1","18.1","2.8","2.8"
"319","Justin Fields","CHI","QB","1","2023","1","1","GB","9","59","59.0","6.56","0","0","2","","0","","0.0","","55.6","22.2","1","0.11","10","1.11","16.9","-0.22","0","","0","0","","","1","11.1","-1","0","-1.00","","16.5","16.5","5.0","5.0"
"320","Joe Mixon","CIN","RB","1","2023","1","2","BLT","13","59","59.0","4.54","0","0","4","","0","","100.0","","69.2","30.8","2","0.15","33","2.54","55.9","2.00","6","46.2","27","0","4.50","83.3","7","53.8","32","0","4.57","57.1","13.5","13.5","17.2","17.2"
"321","Tony Pollard","DAL","RB","1","2023","1","14","PHI","16","59","59.0","3.69","0","0","3","","0","","50.0","","43.8","50.0","2","0.13","39","2.44","66.1","1.25","11","68.8","40","0","3.64","45.5","5","31.3","19","0","3.80","40.0","16.6","16.6","20.7","20.7"
"322","Daniel Jones","NYG","QB","1","2023","1","2","ARZ","9","59","59.0","6.56","1","0","5","11.1","15","25.4","0.0","11.1","66.7","33.3","0","","6","0.67","10.2","2.00","2","22.2","15","1","7.50","50.0","0","","0","0","","","31.7","31.7","6.4","6.4"
"323","Brian Robinson","WAS","RB","1","2023","1","1","ARZ","19","59","59.0","3.11","0","0","5","","0","","0.0","","42.1","42.1","3","0.16","35","1.84","59.3","1.26","8","42.1","32","0","4.00","62.5","11","57.9","27","0","2.45","27.3","13.6","13.6","14.8","14.8"
"324","Tyler Allgeier","ATL","RB","1","2023","1","7","TB","21","59","59.0","2.81","0","0","4","","0","","0.0","","42.9","52.4","2","0.10","41","1.95","69.5","0.86","15","71.4","46","0","3.07","33.3","6","28.6","13","0","2.17","66.7","14.2","14.2","16.1","16.1"
"325","Taysom Hill","NO","QB","1","2023","1","13","DET","13","59","59.0","4.54","1","0","3","7.7","21","35.6","40.0","7.7","69.2","38.5","3","0.23","35","2.69","59.3","1.85","3","23.1","2","0","0.67","","10","76.9","57","1","5.70","90.0","15.4","15.4","15.4","15.4"
"326","Rhamondre Stevenson","NE","RB","1","2023","1","3","NYJ","19","59","59.0","3.11","0","0","2","","0","","0.0","","47.4","47.4","3","0.16","39","2.05","66.1","1.05","3","15.8","4","0","1.33","33.3","16","84.2","55","0","3.44","50.0","7.2","7.2","14.7","14.7"
"327","Alvin Kamara","NO","RB","1","2023","1","8","IND","17","59","59.0","3.47","1","0","2","5.9","16","27.1","50.0","5.9","41.2","47.1","0","","28","1.65","47.5","1.82","4","23.5","7","0","1.75","","13","76.5","52","1","4.00","53.8","27.0","27.0","18.0","18.0"
"328","Jaylen Warren","PIT","RB","1","2023","1","13","ARZ","9","59","59.0","6.56","0","0","2","11.1","18","30.5","25.0","","88.9","22.2","2","0.22","29","3.22","49.2","3.33","7","77.8","43","0","6.14","85.7","2","22.2","16","0","8.00","100.0","6.5","6.5","9.0","9.0"
"329","Devin Singletary","HST","RB","1","2023","1","6","NO","12","58","58.0","4.83","0","0","3","8.3","17","29.3","0.0","","66.7","41.7","4","0.33","34","2.83","58.6","2.00","9","75.0","35","0","3.89","55.6","3","25.0","23","0","7.67","100.0","7.2","7.2","9.6","9.6"
"330","Jamaal Williams","NO","RB","1","2023","1","17","TB","19","58","58.0","3.05","0","0","2","5.3","17","29.3","0.0","","21.1","57.9","2","0.11","44","2.32","75.9","0.74","15","78.9","58","0","3.87","26.7","4","21.1","0","0","","","11.1","11.1","16.1","16.1"
"331","Emari Demercado","ARZ","RB","1","2023","1","7","SEA","13","58","58.0","4.46","0","0","2","7.7","18","31.0","0.0","","38.5","46.2","1","0.08","26","2.00","44.8","2.46","4","30.8","4","0","1.00","","9","69.2","54","0","6.00","55.6","11.5","11.5","13.3","13.3"
"332","James Cook","BUF","RB","1","2023","1","14","KC","10","58","58.0","5.80","0","0","3","10.0","15","25.9","0.0","","40.0","50.0","1","0.10","15","1.50","25.9","4.30","1","10.0","2","0","2.00","","9","90.0","56","0","6.22","44.4","25.1","25.1","12.6","12.6"
"333","Josh Jacobs","LV","RB","1","2023","1","4","LAC","17","58","58.0","3.41","1","0","4","","0","","33.3","5.9","58.8","41.2","3","0.18","32","1.88","55.2","1.53","8","47.1","18","1","2.25","37.5","9","52.9","40","0","4.44","77.8","27.9","27.9","28.9","28.9"
"334","Chris Rodriguez","WAS","RB","1","2023","1","16","NYJ","10","58","58.0","5.80","2","0","4","10.0","16","27.6","50.0","20.0","50.0","40.0","5","0.50","52","5.20","89.7","0.60","6","60.0","27","2","4.50","50.0","4","40.0","31","0","7.75","50.0","19.5","19.5","9.6","9.6"
"335","Gus Edwards","BLT","RB","1","2023","1","15","JAX","16","58","58.0","3.63","1","0","4","6.3","20","34.5","100.0","6.3","50.0","50.0","2","0.13","35","2.19","60.3","1.44","5","31.3","9","0","1.80","","11","68.8","49","1","4.45","72.7","13.9","13.9","17.7","17.7"
"336","Chuba Hubbard","CAR","RB","1","2023","1","9","IND","16","58","58.0","3.63","0","0","4","6.3","20","34.5","0.0","","50.0","43.8","1","0.06","54","3.38","93.1","0.25","8","50.0","15","0","1.88","50.0","8","50.0","43","0","5.38","50.0","10.7","10.7","15.8","15.8"
"337","Justin Fields","CHI","QB","1","2023","1","14","DET","12","58","58.0","4.83","1","0","4","8.3","19","32.8","0.0","8.3","33.3","60.0","0","","1","0.08","1.7","1.00","5","41.7","3","0","0.60","","1","8.3","11","0","11.00","100.0","24.7","24.7","6.8","6.8"
"338","Travis Etienne","JAX","RB","1","2023","1","18","TEN","16","57","57.0","3.56","0","0","4","","0","","0.0","","50.0","37.5","1","0.06","41","2.56","71.9","1.00","4","25.0","6","0","1.50","50.0","12","75.0","51","0","4.25","50.0","13.7","13.7","17.1","17.1"
"339","D'Andre Swift","PHI","RB","1","2023","1","8","WAS","16","57","57.0","3.56","1","0","2","","0","","0.0","6.3","43.8","43.8","4","0.25","31","1.94","54.4","1.63","10","62.5","32","0","3.20","20.0","6","37.5","25","1","4.17","83.3","14.4","14.4","12.0","12.0"
"340","Justin Fields","CHI","QB","1","2023","1","5","WAS","11","57","57.0","5.18","0","0","6","","0","","0.0","","90.9","9.1","3","0.27","23","2.09","40.4","2.27","4","36.4","15","0","3.75","75.0","2","18.2","22","0","11.00","100.0","33.0","33.0","4.9","4.9"
"341","Zack Moss","IND","RB","1","2023","1","7","CLV","18","57","57.0","3.17","0","0","2","5.6","21","36.8","0.0","","33.3","55.6","5","0.28","55","3.06","96.5","0.11","11","61.1","17","0","1.55","27.3","7","38.9","40","0","5.71","42.9","7.2","7.2","10.4","10.4"
"342","Chuba Hubbard","CAR","RB","1","2023","1","11","DAL","10","57","57.0","5.70","0","0","2","","0","","0.0","","50.0","30.0","3","0.30","35","3.50","61.4","2.20","7","70.0","32","0","4.57","42.9","3","30.0","25","0","8.33","66.7","8.5","8.5","7.1","7.1"
"343","Brock Purdy","SF","QB","1","2023","1","8","CIN","6","57","57.0","9.50","0","0","2","16.7","16","28.1","0.0","","66.7","16.7","1","0.17","11","1.83","19.3","0.00","0","","0","0","","","0","","0","0","","","21.3","21.3","2.4","2.4"
"344","Breece Hall","NYJ","RB","1","2023","1","4","KC","6","56","56.0","9.33","0","0","2","16.7","43","76.8","0.0","","33.3","66.7","2","0.33","36","6.00","64.3","3.33","2","33.3","14","0","7.00","50.0","4","66.7","42","0","10.50","25.0","9.9","9.9","7.6","7.6"
"345","Alvin Kamara","NO","RB","1","2023","1","14","CAR","12","56","56.0","4.67","1","0","2","","0","","0.0","8.3","66.7","41.7","2","0.17","18","1.50","32.1","3.17","11","91.7","49","1","4.45","63.6","1","8.3","7","0","7.00","100.0","13.5","13.5","11.5","11.5"
"346","Russell Wilson","DEN","QB","1","2023","1","2","WAS","6","56","56.0","9.33","0","0","6","16.7","15","26.8","50.0","","100.0","","0","","5","0.83","8.9","2.83","1","16.7","14","0","14.00","100.0","0","","0","0","","","27.9","27.9","4.2","4.2"
"347","David Montgomery","DET","RB","1","2023","1","13","NO","18","56","56.0","3.11","1","0","5","","0","","100.0","5.6","33.3","50.0","2","0.11","35","1.94","62.5","1.17","8","44.4","38","0","4.75","50.0","10","55.6","18","1","1.80","20.0","12.5","12.5","13.6","13.6"
"348","James Cook","BUF","RB","1","2023","1","7","NE","13","56","56.0","4.31","0","0","5","7.7","20","35.7","0.0","","61.5","38.5","4","0.31","35","2.69","62.5","1.62","11","84.6","46","0","4.18","54.5","2","15.4","10","0","5.00","100.0","19.2","19.2","10.7","10.7"
"349","Jeffery Wilson","MIA","RB","1","2023","1","12","NYJ","11","56","56.0","5.09","0","0","1","","0","","0.0","","54.5","45.5","1","0.09","37","3.36","66.1","1.73","9","81.8","50","0","5.56","66.7","2","18.2","6","0","3.00","","10.3","10.3","9.5","9.5"
"350","D'Andre Swift","PHI","RB","1","2023","1","4","WAS","14","56","56.0","4.00","1","0","1","","0","","100.0","7.1","71.4","21.4","3","0.21","25","1.79","44.6","2.21","10","71.4","44","1","4.40","70.0","4","28.6","12","0","3.00","75.0","17.9","17.9","16.1","16.1"
"351","Bijan Robinson","ATL","RB","1","2023","1","1","CAR","10","56","56.0","5.60","0","0","2","10.0","21","37.5","0.0","","30.0","40.0","1","0.10","28","2.80","50.0","2.80","7","70.0","16","0","2.29","","3","30.0","40","0","13.33","100.0","20.3","20.3","14.6","14.6"
"352","Devon Achane","MIA","RB","1","2023","1","18","BUF","10","56","56.0","5.60","1","0","3","20.0","41","73.2","0.0","10.0","40.0","60.0","4","0.40","42","4.20","75.0","1.40","5","50.0","25","1","5.00","20.0","3","30.0","19","0","6.33","66.7","13.1","13.1","7.1","7.1"
"353","Cordarrelle Patterson","ATL","RB","1","2023","1","7","TB","10","56","56.0","5.60","0","0","2","10.0","18","32.1","0.0","","40.0","40.0","3","0.30","28","2.80","50.0","2.80","4","40.0","14","0","3.50","50.0","6","60.0","42","0","7.00","33.3","5.6","5.6","6.1","6.1"
"354","Joe Mixon","CIN","RB","1","2023","1","1","CLV","13","56","56.0","4.31","0","0","2","7.7","22","39.3","0.0","","30.8","69.2","5","0.38","58","4.46","103.6","-0.15","7","53.8","40","0","5.71","42.9","6","46.2","16","0","2.67","16.7","10.3","10.3","13.7","13.7"
"355","Anthony Richardson","IND","QB","1","2023","1","4","LA","10","56","56.0","5.60","1","2","3","10.0","23","41.1","20.0","10.0","70.0","22.2","1","0.10","11","1.10","19.6","2.50","2","20.0","30","0","15.00","100.0","4","40.0","6","1","1.50","50.0","30.6","30.6","7.6","7.6"
"356","Travis Etienne","JAX","RB","1","2023","1","12","HST","20","56","56.0","2.80","0","0","2","5.0","20","35.7","75.0","","25.0","70.0","4","0.20","49","2.45","87.5","0.35","5","25.0","2","0","0.40","","12","60.0","41","0","3.42","33.3","12.6","12.6","25.2","25.2"
"357","Rachaad White","TB","RB","1","2023","1","4","NO","15","56","56.0","3.73","0","0","3","","0","","50.0","","53.3","53.3","1","0.07","42","2.80","75.0","0.93","11","73.3","29","0","2.64","45.5","4","26.7","27","0","6.75","75.0","10.8","10.8","14.1","14.1"
"358","Carson Wentz","LA","QB","1","2023","1","18","SF","17","56","56.0","3.29","1","0","4","","0","","0.0","5.9","58.8","31.3","1","0.06","26","1.53","46.4","1.35","4","23.5","12","0","3.00","50.0","7","41.2","32","1","4.57","57.1","27.1","27.1","8.3","8.3"
"359","A.J. Dillon","GB","RB","1","2023","1","2","ATL","15","55","55.0","3.67","0","0","3","","0","","0.0","","66.7","40.0","2","0.13","39","2.60","70.9","1.07","10","66.7","46","0","4.60","80.0","5","33.3","9","0","1.80","40.0","7.3","7.3","9.1","9.1"
"360","Joshua Dobbs","ARZ","QB","1","2023","1","3","DAL","6","55","55.0","9.17","0","0","3","16.7","44","80.0","0.0","","66.7","","1","0.17","27","4.50","49.1","4.67","0","","0","0","","","1","16.7","44","0","44.00","100.0","17.1","17.1","1.7","1.7"
"361","Travis Etienne","JAX","RB","1","2023","1","4","ATL","20","55","55.0","2.75","0","0","1","","0","","0.0","","30.0","60.0","0","","42","2.10","76.4","0.65","11","55.0","32","0","2.91","36.4","9","45.0","23","0","2.56","22.2","10.2","10.2","15.7","15.7"
"362","Isiah Pacheco","KC","RB","1","2023","1","5","MIN","16","55","55.0","3.44","1","0","4","","0","","100.0","6.3","50.0","37.5","4","0.25","45","2.81","81.8","0.63","9","56.3","28","0","3.11","55.6","7","43.8","27","1","3.86","42.9","13.4","13.4","14.6","14.6"
"363","Clyde Edwards-Helaire","KC","RB","1","2023","1","3","CHI","15","55","55.0","3.67","1","0","4","6.7","16","29.1","25.0","6.7","26.7","60.0","5","0.33","43","2.87","78.2","0.80","8","53.3","14","0","1.75","","7","46.7","41","1","5.86","57.1","12.7","12.7","10.9","10.9"
"364","Kareem Hunt","CLV","RB","1","2023","1","8","SEA","14","55","55.0","3.93","1","0","4","","0","","100.0","7.1","57.1","35.7","2","0.14","34","2.43","61.8","1.50","4","28.6","16","0","4.00","50.0","10","71.4","39","1","3.90","60.0","13.7","13.7","11.1","11.1"
"365","Zack Moss","IND","RB","1","2023","1","12","TB","8","55","55.0","6.88","0","0","3","12.5","16","29.1","0.0","","62.5","37.5","2","0.25","30","3.75","54.5","3.13","4","50.0","27","0","6.75","75.0","4","50.0","28","0","7.00","50.0","9.0","9.0","8.4","8.4"
"366","David Montgomery","DET","RB","1","2023","1","16","MIN","17","55","55.0","3.24","1","0","5","","0","","60.0","5.9","47.1","52.9","2","0.12","48","2.82","87.3","0.41","12","70.6","39","1","3.25","50.0","5","29.4","16","0","3.20","40.0","14.9","14.9","16.5","16.5"
"367","Samaje Perine","DEN","RB","1","2023","1","12","CLV","7","55","55.0","7.86","1","0","4","28.6","39","70.9","66.7","14.3","71.4","14.3","2","0.29","34","4.86","61.8","3.00","4","57.1","31","1","7.75","75.0","3","42.9","24","0","8.00","66.7","13.6","13.6","8.8","8.8"
"368","Travis Etienne","JAX","RB","1","2023","1","6","IND","18","55","55.0","3.06","2","0","5","5.6","22","40.0","100.0","11.1","55.6","44.4","4","0.22","41","2.28","74.5","0.78","4","22.2","14","1","3.50","75.0","13","72.2","19","0","1.46","46.2","23.3","23.3","15.5","15.5"
"369","Tony Pollard","DAL","RB","1","2023","1","10","NYG","15","55","55.0","3.67","0","0","3","6.7","15","27.3","75.0","","40.0","60.0","3","0.20","46","3.07","83.6","0.60","11","73.3","44","0","4.00","54.5","4","26.7","11","0","2.75","","5.5","5.5","14.5","14.5"
"370","Isiah Pacheco","KC","RB","1","2023","1","12","LV","15","55","55.0","3.67","2","0","5","","0","","66.7","13.3","66.7","26.7","0","","22","1.47","40.0","2.20","7","46.7","31","0","4.43","85.7","8","53.3","24","2","3.00","50.0","25.9","25.9","22.6","22.6"
"371","Ty Johnson","BUF","RB","1","2023","1","15","DAL","9","54","54.0","6.00","0","1","4","","0","","0.0","","66.7","22.2","1","0.11","19","2.11","35.2","3.89","3","33.3","14","0","4.67","66.7","6","66.7","40","0","6.67","66.7","6.8","6.8","5.7","5.7"
"372","Keaton Mitchell","BLT","RB","1","2023","1","14","LA","9","54","54.0","6.00","0","0","2","11.1","27","50.0","0.0","","66.7","33.3","1","0.11","10","1.11","18.5","4.89","7","77.8","49","0","7.00","71.4","2","22.2","5","0","2.50","50.0","7.2","7.2","6.3","6.3"
"373","Christian McCaffrey","SF","RB","1","2023","1","8","CIN","12","54","54.0","4.50","1","0","4","8.3","16","29.6","100.0","8.3","66.7","25.0","5","0.42","37","3.08","68.5","1.42","8","66.7","29","0","3.63","62.5","4","33.3","25","1","6.25","75.0","29.8","29.8","20.8","20.8"
"374","Kenneth Walker","SEA","RB","1","2023","1","16","TEN","16","54","54.0","3.38","0","0","2","6.3","24","44.4","0.0","","31.3","68.8","6","0.38","47","2.94","87.0","0.44","7","43.8","10","0","1.43","28.6","9","56.3","44","0","4.89","33.3","6.6","6.6","12.2","12.2"
