"NAME","ID","POS","Team","ADP","OVERALL","POSITION"
"Jadarian Price","1383791","RB","SEA","63.9","68","RB27"
"Jalen Hurts","913271","QB","PHI","78.1","69","QB6"
"Quentin Johnston","1213865","WR","LAC","74.2","70","WR33"
"Marvin Harrison Jr.","1287828","WR","ARZ","66.7","71","WR34"
"Jaylen Warren","1176443","RB","PIT","71.2","72","RB28"
"DK Metcalf","945633","WR","PIT","80.5","73","WR35"
"Dak Prescott","591816","QB","DAL","80.7","74","QB7"
"Tony Pollard","880398","RB","TEN","79.2","75","RB29"
"Courtland Sutton","838878","WR","DEN","83.7","76","WR36"
"Jonathon Brooks","1326601","RB","CAR","72.7","77","RB30"
"Michael Wilson","1123529","WR","ARZ","74.6","78","WR37"
"Caleb Williams","1286445","QB","CHI","72.0","79","QB8"
"Sam LaPorta","1168926","TE","DET","78.9","80","TE5"
"Stefon Diggs","694041","WR","WAS","86.9","81","WR38"
"Justin Herbert","910562","QB","LAC","86.2","82","QB9"
"Josh Downs","1215077","WR","IND","82.5","83","WR39"
"Trevor Lawrence","1110711","QB","JAX","87.9","84","QB10"
"Jayden Reed","1123398","WR","GB","90.8","85","WR40"
"Tucker Kraft","1181874","TE","GB","76.5","86","TE6"
"Chris Godwin Jr.","835127","WR","TB","80.6","87","WR41"
"Michael Pittman","911348","WR","PIT","101.7","88","WR42"
"Rico Dowdle","933480","RB","PIT","88.0","89","RB31"
"Kyle Pitts","1123026","TE","ATL","89.3","90","TE7"
"RJ Harvey","1172401","RB","DEN","83.6","91","RB32"
"Patrick Mahomes","839031","QB","KC","100.6","92","QB11"
"Kenny Gainwell","1130705","RB","TB","96.6","93","RB33"
"Jordyn Tyson","1394692","WR","NO","81.9","94","WR43"
"Jordan Addison","1214250","WR","MIN","102.7","95","WR44"
"Matthew Stafford","323205","QB","LA","93.6","96","QB12"
"Harold Fannin Jr.","1394752","TE","CLV","95.8","97","TE8"
"Jaxson Dart","1286260","QB","NYG","103.9","98","QB13"
"Blake Corum","1229540","RB","LA","91.2","99","RB34"
"Wan'Dale Robinson","1164875","WR","TEN","97.2","100","WR45"
"Brock Purdy","1121761","QB","SF","106.9","101","QB14"
"Makai Lemon","1441120","WR","PHI","105.4","102","WR46"
"Jakobi Meyers","880151","WR","JAX","120.1","103","WR47"
