"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"299","Tahj Brooks","RB","CIN","6","40.2","15","2.68","15","174","999.0","0","0","0","0.0","0","47","190","1.3","7","6","60","0.3"
"300","Kevin Coleman Jr.","WR","MIA","6","40.0","13","3.07","16","285","999.0","0","0","0","0.0","0","0","0","0.0","23","15","186","1.1"
"301","Treylon Burks","WR","WAS","7","39.1","10","3.91","16","323","999.0","0","0","0","0.0","0","0","0","0.0","26","15","189","0.9"
"302","Emanuel Wilson","RB","SEA","11","39.0","13","3.00","15","76","250.3","0","0","0","0.0","0","45","178","1.1","9","8","56","0.3"
"303","Trevor Etienne","RB","CAR","5","38.9","15","2.60","15","173","999.0","0","0","0","0.0","0","31","130","0.7","14","12","75","0.5"
"304","Skyler Bell","WR","BUF","7","38.9","15","2.59","16","259","999.0","0","0","0","0.0","0","0","0","0.0","22","13","189","1.1"
"305","Joe Royer","TE","CLV","11","38.8","15","2.58","11","100","683.0","0","0","0","0.0","0","0","0","0.0","22","16","150","1.3"
"306","Cade Stover","TE","HST","8","38.2","15","2.55","11","116","999.0","0","0","0","0.0","0","0","0","0.0","26","20","127","1.0"
"307","Carson Beck","QB","ARZ","14","37.9","3","12.64","13","99","999.0","92","55","568","2.9","3","11","55","0.3","0","0","0","0.0"
"308","Ja'Tavion Sanders","TE","CAR","5","37.6","15","2.51","11","117","999.0","0","0","0","0.0","0","0","0","0.0","21","17","150","1.0"
"309","Jordan Whittington","WR","LA","11","36.5","15","2.43","17","","1740.0","0","0","0","0.0","0","3","13","0.1","20","15","153","0.8"
"310","Marcus Mariota","QB","WAS","7","36.2","2","18.08","13","116","999.0","63","39","466","2.9","2","10","59","0.4","0","0","0","0.0"
"311","Kimani Vidal","RB","LAC","7","36.1","14","2.58","15","70","237.8","0","0","0","0.0","0","35","111","0.8","14","11","72","0.4"
"312","Ollie Gordon II","RB","MIA","6","35.1","15","2.34","15","193","999.0","0","0","0","0.0","0","43","152","1.3","8","7","44","0.2"
"313","Kyle Williams","WR","NE","11","35.0","14","2.50","17","78","222.1","0","0","0","0.0","0","1","7","0.0","20","12","152","1.2"
"314","Adam Trautman","TE","DEN","10","34.7","15","2.32","11","99","682.8","0","0","0","0.0","0","0","0","0.0","18","13","151","1.1"
"315","Will Shipley","RB","PHI","10","34.6","15","2.31","15","201","999.0","0","0","0","0.0","0","25","103","0.5","13","11","87","0.4"
"316","Justin Fields","QB","KC","5","34.6","2","17.30","13","94","999.0","56","35","385","2.2","2","14","91","0.6","0","0","0","0.0"
